商品代碼,K線類型,交易日期,交易時間,開盤價,最高價,最低價,收盤價,成交量,建立時間
MTX00,MINUTE,2025/06/05 08:46,,21593.0,21611.0,21577.0,21585.0,2160,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:47,,21587.0,21590.0,21580.0,21588.0,594,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:48,,21587.0,21588.0,21568.0,21568.0,635,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:49,,21569.0,21576.0,21567.0,21567.0,361,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:50,,21569.0,21570.0,21565.0,21565.0,309,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:51,,21565.0,21571.0,21562.0,21571.0,326,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:52,,21570.0,21571.0,21560.0,21563.0,409,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:53,,21563.0,21565.0,21550.0,21551.0,648,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:54,,21551.0,21571.0,21551.0,21570.0,414,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:55,,21569.0,21577.0,21569.0,21572.0,416,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:56,,21571.0,21573.0,21564.0,21566.0,253,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:57,,21566.0,21573.0,21561.0,21573.0,196,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:58,,21571.0,21580.0,21569.0,21576.0,353,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 08:59,,21576.0,21580.0,21575.0,21579.0,251,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:00,,21579.0,21584.0,21570.0,21578.0,428,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:01,,21579.0,21584.0,21561.0,21570.0,1037,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:02,,21568.0,21572.0,21558.0,21569.0,681,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:03,,21569.0,21587.0,21567.0,21577.0,870,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:04,,21576.0,21588.0,21573.0,21573.0,486,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:05,,21573.0,21589.0,21568.0,21587.0,611,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:06,,21586.0,21600.0,21574.0,21599.0,1089,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:07,,21600.0,21607.0,21589.0,21589.0,869,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:08,,21591.0,21598.0,21577.0,21596.0,537,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:09,,21594.0,21625.0,21594.0,21618.0,1635,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:10,,21620.0,21621.0,21607.0,21611.0,691,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:11,,21613.0,21623.0,21610.0,21620.0,822,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:12,,21620.0,21622.0,21608.0,21611.0,439,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:13,,21611.0,21618.0,21593.0,21603.0,736,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:14,,21603.0,21615.0,21600.0,21608.0,321,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:15,,21606.0,21617.0,21606.0,21607.0,361,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:16,,21607.0,21620.0,21603.0,21617.0,433,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:17,,21619.0,21636.0,21618.0,21632.0,1306,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:18,,21634.0,21638.0,21609.0,21624.0,965,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:19,,21626.0,21629.0,21620.0,21623.0,314,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:20,,21623.0,21625.0,21613.0,21625.0,306,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:21,,21625.0,21629.0,21608.0,21612.0,442,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:22,,21613.0,21618.0,21600.0,21602.0,738,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:23,,21602.0,21615.0,21602.0,21613.0,339,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:24,,21614.0,21619.0,21600.0,21600.0,382,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:25,,21600.0,21610.0,21599.0,21603.0,395,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:26,,21603.0,21605.0,21587.0,21587.0,769,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:27,,21589.0,21595.0,21586.0,21590.0,450,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:28,,21590.0,21595.0,21580.0,21594.0,694,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:29,,21594.0,21600.0,21588.0,21598.0,291,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:30,,21599.0,21600.0,21593.0,21596.0,184,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:31,,21593.0,21620.0,21593.0,21617.0,819,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:32,,21617.0,21625.0,21614.0,21616.0,613,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:33,,21616.0,21621.0,21609.0,21611.0,265,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:34,,21611.0,21615.0,21605.0,21608.0,281,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:35,,21609.0,21613.0,21596.0,21596.0,310,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:36,,21596.0,21607.0,21587.0,21607.0,580,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:37,,21607.0,21617.0,21598.0,21613.0,481,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:38,,21615.0,21633.0,21613.0,21619.0,992,2025-07-05 07:52:57
MTX00,MINUTE,2025/06/05 09:39,,21618.0,21635.0,21615.0,21635.0,432,2025-07-05 07:52:57
