experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit
11:3011:31_L1SL16_L2SL26_L3SL29_TP55,11:30-11:31,16,26,29,-574.0,1062.0,1.8501742160278745,55
11:3011:31_L1SL12_L2SL28_L3SL28_TP60,11:30-11:31,12,28,28,-565.0,1123.0,1.9876106194690266,60
11:3011:32_L1SL18_L2SL22_L3SL28_TP55,11:30-11:32,18,22,28,-585.0,1308.0,2.235897435897436,55
11:3011:32_L1SL16_L2SL22_L3SL28_TP65,11:30-11:32,16,22,28,-577.0,1418.0,2.4575389948006934,65
11:3011:32_L1SL15_L2SL24_L3SL30_TP70,11:30-11:32,15,24,30,-566.0,1607.0,2.8392226148409896,70
11:3011:31_L1SL18_L2SL25_L3SL32_TP55,11:30-11:31,18,25,32,-610.0,1193.0,1.955737704918033,55
11:3011:31_L1SL16_L2SL24_L3SL31_TP70,11:30-11:31,16,24,31,-570.0,1224.0,2.1473684210526316,70
12:3012:31_L1SL15_L2SL28_L3SL29_TP65,12:30-12:31,15,28,29,-553.0,1724.0,3.11754068716094,65
11:3011:31_L1SL15_L2SL28_L3SL29_TP55,11:30-11:31,15,28,29,-594.0,1147.0,1.930976430976431,55
12:3012:31_L1SL18_L2SL24_L3SL31_TP65,12:30-12:31,18,24,31,-473.0,1670.0,3.5306553911205074,65
10:3010:31_L1SL16_L2SL28_L3SL28_TP65,10:30-10:31,16,28,28,-540.0,2284.0,4.229629629629629,65
11:3011:31_L1SL14_L2SL22_L3SL29_TP50,11:30-11:31,14,22,29,-488.0,1131.0,2.317622950819672,50
11:3011:31_L1SL12_L2SL28_L3SL32_TP60,11:30-11:31,12,28,32,-576.0,1257.0,2.1822916666666665,60
11:3011:31_L1SL16_L2SL22_L3SL29_TP65,11:30-11:31,16,22,29,-494.0,1055.0,2.1356275303643724,65
11:3011:32_L1SL15_L2SL22_L3SL32_TP50,11:30-11:32,15,22,32,-584.0,1367.0,2.3407534246575343,50
11:3011:32_L1SL15_L2SL26_L3SL28_TP60,11:30-11:32,15,26,28,-617.0,1602.0,2.5964343598055106,60
12:3012:31_L1SL14_L2SL25_L3SL31_TP70,12:30-12:31,14,25,31,-448.0,1857.0,4.145089285714286,70
12:3012:31_L1SL18_L2SL26_L3SL31_TP50,12:30-12:31,18,26,31,-476.0,1967.0,4.132352941176471,50
11:3011:31_L1SL12_L2SL28_L3SL29_TP65,11:30-11:31,12,28,29,-532.0,1118.0,2.101503759398496,65
12:3012:31_L1SL16_L2SL24_L3SL32_TP65,12:30-12:31,16,24,32,-487.0,1694.0,3.478439425051335,65
11:3011:32_L1SL14_L2SL25_L3SL30_TP70,11:30-11:32,14,25,30,-562.0,1668.0,2.9679715302491103,70
12:3012:31_L1SL15_L2SL28_L3SL29_TP60,12:30-12:31,15,28,29,-553.0,1709.0,3.090415913200723,60
10:3010:31_L1SL16_L2SL26_L3SL31_TP65,10:30-10:31,16,26,31,-549.0,2294.0,4.178506375227687,65
11:3011:32_L1SL15_L2SL24_L3SL28_TP60,11:30-11:32,15,24,28,-573.0,1549.0,2.7033158813263527,60
10:3010:31_L1SL18_L2SL26_L3SL30_TP70,10:30-10:31,18,26,30,-560.0,2316.0,4.135714285714286,70
12:3012:31_L1SL18_L2SL24_L3SL30_TP65,12:30-12:31,18,24,30,-515.0,1551.0,3.0116504854368933,65
11:3011:32_L1SL18_L2SL22_L3SL30_TP70,11:30-11:32,18,22,30,-578.0,1396.0,2.41522491349481,70
11:3011:31_L1SL12_L2SL24_L3SL28_TP55,11:30-11:31,12,24,28,-509.0,1050.0,2.06286836935167,55
11:3011:32_L1SL12_L2SL24_L3SL28_TP65,11:30-11:32,12,24,28,-542.0,1486.0,2.7416974169741697,65
10:3010:31_L1SL16_L2SL28_L3SL29_TP55,10:30-10:31,16,28,29,-549.0,2167.0,3.947176684881603,55
10:3010:31_L1SL14_L2SL22_L3SL31_TP65,10:30-10:31,14,22,31,-561.0,2227.0,3.9696969696969697,65
