experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit_mode
10:0010:02_L1SL15_L2SL15_L3SL15_RangeBoundary,10:00-10:02,15,15,15,-474.0,2769.0,5.841772151898734,range_boundary
10:0010:02_L1SL15_L2SL15_L3SL20_RangeBoundary,10:00-10:02,15,15,20,-569.0,2634.0,4.629173989455184,range_boundary
10:0010:02_L1SL15_L2SL15_L3SL25_RangeBoundary,10:00-10:02,15,15,25,-576.0,2814.0,4.885416666666667,range_boundary
10:0010:02_L1SL15_L2SL15_L3SL30_RangeBoundary,10:00-10:02,15,15,30,-636.0,2551.0,4.011006289308176,range_boundary
10:0010:02_L1SL15_L2SL15_L3SL45_RangeBoundary,10:00-10:02,15,15,45,-722.0,2746.0,3.8033240997229916,range_boundary
10:0010:02_L1SL15_L2SL15_L3SL50_RangeBoundary,10:00-10:02,15,15,50,-832.0,2684.0,3.2259615384615383,range_boundary
10:0010:02_L1SL15_L2SL15_L3SL55_RangeBoundary,10:00-10:02,15,15,55,-846.0,2520.0,2.978723404255319,range_boundary
10:0010:02_L1SL15_L2SL15_L3SL60_RangeBoundary,10:00-10:02,15,15,60,-951.0,2487.0,2.6151419558359623,range_boundary
10:0010:02_L1SL15_L2SL15_L3SL65_RangeBoundary,10:00-10:02,15,15,65,-874.0,2424.0,2.7734553775743707,range_boundary
10:0010:02_L1SL15_L2SL15_L3SL70_RangeBoundary,10:00-10:02,15,15,70,-969.0,2474.0,2.5531475748194015,range_boundary
10:0010:02_L1SL15_L2SL20_L3SL20_RangeBoundary,10:00-10:02,15,20,20,-664.0,2499.0,3.76355421686747,range_boundary
10:0010:02_L1SL15_L2SL20_L3SL25_RangeBoundary,10:00-10:02,15,20,25,-680.0,2679.0,3.9397058823529414,range_boundary
10:0010:02_L1SL15_L2SL20_L3SL30_RangeBoundary,10:00-10:02,15,20,30,-753.0,2416.0,3.2084993359893756,range_boundary
10:0010:02_L1SL15_L2SL20_L3SL45_RangeBoundary,10:00-10:02,15,20,45,-862.0,2611.0,3.0290023201856147,range_boundary
10:0010:02_L1SL15_L2SL20_L3SL50_RangeBoundary,10:00-10:02,15,20,50,-972.0,2549.0,2.6224279835390947,range_boundary
10:0010:02_L1SL15_L2SL20_L3SL55_RangeBoundary,10:00-10:02,15,20,55,-986.0,2385.0,2.418864097363083,range_boundary
10:0010:02_L1SL15_L2SL20_L3SL60_RangeBoundary,10:00-10:02,15,20,60,-1091.0,2352.0,2.155820348304308,range_boundary
10:0010:02_L1SL15_L2SL20_L3SL65_RangeBoundary,10:00-10:02,15,20,65,-1014.0,2289.0,2.257396449704142,range_boundary
10:0010:02_L1SL15_L2SL20_L3SL70_RangeBoundary,10:00-10:02,15,20,70,-1109.0,2339.0,2.109107303877367,range_boundary
10:0010:02_L1SL15_L2SL25_L3SL25_RangeBoundary,10:00-10:02,15,25,25,-717.0,2859.0,3.98744769874477,range_boundary
10:0010:02_L1SL15_L2SL25_L3SL30_RangeBoundary,10:00-10:02,15,25,30,-805.0,2596.0,3.224844720496894,range_boundary
10:0010:02_L1SL15_L2SL25_L3SL45_RangeBoundary,10:00-10:02,15,25,45,-914.0,2791.0,3.053610503282276,range_boundary
10:0010:02_L1SL15_L2SL25_L3SL50_RangeBoundary,10:00-10:02,15,25,50,-1024.0,2729.0,2.6650390625,range_boundary
10:0010:02_L1SL15_L2SL25_L3SL55_RangeBoundary,10:00-10:02,15,25,55,-1038.0,2565.0,2.4710982658959537,range_boundary
10:0010:02_L1SL15_L2SL25_L3SL60_RangeBoundary,10:00-10:02,15,25,60,-1143.0,2532.0,2.215223097112861,range_boundary
10:0010:02_L1SL15_L2SL25_L3SL65_RangeBoundary,10:00-10:02,15,25,65,-1066.0,2469.0,2.3161350844277675,range_boundary
10:0010:02_L1SL15_L2SL25_L3SL70_RangeBoundary,10:00-10:02,15,25,70,-1161.0,2519.0,2.169681309216193,range_boundary
10:0010:02_L1SL15_L2SL30_L3SL30_RangeBoundary,10:00-10:02,15,30,30,-893.0,2333.0,2.612541993281075,range_boundary
