experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit_mode,take_profit
10:3010:32_L1SL20_L2SL45_L3SL70_RangeBoundary,10:30-10:32,20,45,70,-1058.0,2547.0,2.4073724007561434,range_boundary,
10:0010:02_L1SL20_L2SL25_L3SL55_TP40,10:00-10:02,20,25,55,-975.0,1501.0,1.5394871794871794,,40.0
11:3011:32_L1SL20_L2SL55_L3SL60_RangeBoundary,11:30-11:32,20,55,60,-661.0,2987.0,4.518910741301059,range_boundary,
11:3011:32_L1SL15_L2SL15_L3SL65_TP70,11:30-11:32,15,15,65,-974.0,1815.0,1.8634496919917864,,70.0
11:0011:02_L1SL45_L2SL45_L3SL70_TP60,11:00-11:02,45,45,70,-2030.0,-446.0,0.21970443349753693,,60.0
10:3010:32_L1SL30_L2SL65_L3SL65_RangeBoundary,10:30-10:32,30,65,65,-1261.0,2886.0,2.288659793814433,range_boundary,
10:3010:32_L1SL20_L2SL20_L3SL50_TP80,10:30-10:32,20,20,50,-1239.0,2865.0,2.3123486682808716,,80.0
13:0013:02_L1SL45_L2SL45_L3SL70_TP40,13:00-13:02,45,45,70,-1507.0,-675.0,0.44790975447909753,,40.0
10:3010:32_L1SL15_L2SL20_L3SL65_TP50,10:30-10:32,15,20,65,-1154.0,1956.0,1.6949740034662044,,50.0
12:3012:32_L1SL15_L2SL65_L3SL65_RangeBoundary,12:30-12:32,15,65,65,-915.0,2309.0,2.523497267759563,range_boundary,
10:0010:02_L1SL20_L2SL50_L3SL55_TP70,10:00-10:02,20,50,55,-963.0,1929.0,2.0031152647975077,,70.0
10:0010:02_L1SL20_L2SL45_L3SL55_TP50,10:00-10:02,20,45,55,-1150.0,1534.0,1.333913043478261,,50.0
10:3010:32_L1SL15_L2SL45_L3SL50_TP80,10:30-10:32,15,45,50,-1386.0,2567.0,1.852092352092352,,80.0
11:0011:02_L1SL30_L2SL55_L3SL70_RangeBoundary,11:00-11:02,30,55,70,-1426.0,-583.0,0.40883590462833097,range_boundary,
11:0011:02_L1SL50_L2SL60_L3SL65_TP40,11:00-11:02,50,60,65,-2533.0,-2011.0,0.7939202526648244,,40.0
13:0013:02_L1SL20_L2SL20_L3SL50_TP80,13:00-13:02,20,20,50,-2779.0,-1161.0,0.41777617848146814,,80.0
10:0010:02_L1SL20_L2SL30_L3SL30_TP50,10:00-10:02,20,30,30,-1080.0,1176.0,1.0888888888888888,,50.0
13:0013:02_L1SL60_L2SL60_L3SL70_TP60,13:00-13:02,60,60,70,-1328.0,99.0,0.07454819277108433,,60.0
11:0011:02_L1SL25_L2SL25_L3SL45_TP80,11:00-11:02,25,25,45,-1874.0,-727.0,0.387940234791889,,80.0
13:0013:02_L1SL45_L2SL45_L3SL65_RangeBoundary,13:00-13:02,45,45,65,-1263.0,403.0,0.31908155186064924,range_boundary,
12:3012:32_L1SL15_L2SL55_L3SL55_TP60,12:30-12:32,15,55,55,-826.0,3532.0,4.276029055690072,,60.0
11:0011:02_L1SL30_L2SL65_L3SL65_TP80,11:00-11:02,30,65,65,-1878.0,-268.0,0.14270500532481364,,80.0
12:3012:32_L1SL25_L2SL55_L3SL55_TP60,12:30-12:32,25,55,55,-971.0,3857.0,3.972193614830072,,60.0
11:3011:32_L1SL20_L2SL70_L3SL70_TP60,11:30-11:32,20,70,70,-1324.0,2958.0,2.2341389728096677,,60.0
10:0010:02_L1SL15_L2SL20_L3SL65_TP70,10:00-10:02,15,20,65,-888.0,1654.0,1.8626126126126126,,70.0
10:3010:32_L1SL60_L2SL70_L3SL70_TP80,10:30-10:32,60,70,70,-2836.0,1702.0,0.6001410437235543,,80.0
12:3012:32_L1SL15_L2SL70_L3SL70_RangeBoundary,12:30-12:32,15,70,70,-1015.0,2163.0,2.1310344827586207,range_boundary,
12:0012:02_L1SL15_L2SL60_L3SL60_RangeBoundary,12:00-12:02,15,60,60,-341.0,3178.0,9.319648093841643,range_boundary,
11:3011:32_L1SL20_L2SL65_L3SL70_TP70,11:30-11:32,20,65,70,-1320.0,2839.0,2.150757575757576,,70.0
10:3010:32_L1SL55_L2SL60_L3SL60_TP60,10:30-10:32,55,60,60,-2052.0,1809.0,0.881578947368421,,60.0
11:0011:02_L1SL30_L2SL45_L3SL65_TP80,11:00-11:02,30,45,65,-1993.0,-192.0,0.0963371801304566,,80.0
12:0012:02_L1SL15_L2SL45_L3SL70_RangeBoundary,12:00-12:02,15,45,70,-376.0,3033.0,8.066489361702128,range_boundary,
10:3010:32_L1SL20_L2SL20_L3SL50_RangeBoundary,10:30-10:32,20,20,50,-738.0,2726.0,3.693766937669377,range_boundary,
10:3010:32_L1SL15_L2SL30_L3SL70_TP40,10:30-10:32,15,30,70,-821.0,2083.0,2.5371498172959805,,40.0
12:0012:02_L1SL30_L2SL55_L3SL70_TP50,12:00-12:02,30,55,70,-785.0,2102.0,2.6777070063694266,,50.0
10:3010:32_L1SL15_L2SL50_L3SL70_RangeBoundary,10:30-10:32,15,50,70,-942.0,2459.0,2.610403397027601,range_boundary,
12:0012:02_L1SL25_L2SL25_L3SL25_TP40,12:00-12:02,25,25,25,-720.0,2247.0,3.120833333333333,,40.0
12:0012:02_L1SL20_L2SL20_L3SL50_TP40,12:00-12:02,20,20,50,-595.0,2148.0,3.6100840336134454,,40.0
11:3011:32_L1SL20_L2SL20_L3SL65_TP40,11:30-11:32,20,20,65,-433.0,2877.0,6.644341801385681,,40.0
10:0010:02_L1SL25_L2SL45_L3SL60_TP60,10:00-10:02,25,45,60,-1149.0,1991.0,1.7328111401218451,,60.0
12:3012:32_L1SL30_L2SL55_L3SL55_TP60,12:30-12:32,30,55,55,-966.0,4027.0,4.1687370600414075,,60.0
13:0013:02_L1SL30_L2SL45_L3SL50_TP40,13:00-13:02,30,45,50,-1503.0,-933.0,0.6207584830339321,,40.0
10:3010:32_L1SL25_L2SL45_L3SL70_TP80,10:30-10:32,25,45,70,-1916.0,2095.0,1.0934237995824634,,80.0
12:0012:02_L1SL30_L2SL50_L3SL70_TP60,12:00-12:02,30,50,70,-846.0,2512.0,2.9692671394799053,,60.0
10:0010:02_L1SL60_L2SL70_L3SL70_TP40,10:00-10:02,60,70,70,-1901.0,976.0,0.5134139926354551,,40.0
13:0013:02_L1SL50_L2SL50_L3SL60_TP50,13:00-13:02,50,50,60,-1537.0,-615.0,0.40013012361743655,,50.0
11:3011:32_L1SL30_L2SL30_L3SL60_TP60,11:30-11:32,30,30,60,-1176.0,2306.0,1.9608843537414966,,60.0
12:0012:02_L1SL25_L2SL25_L3SL70_TP60,12:00-12:02,25,25,70,-866.0,1880.0,2.1709006928406467,,60.0
11:0011:02_L1SL20_L2SL50_L3SL50_RangeBoundary,11:00-11:02,20,50,50,-1090.0,-217.0,0.19908256880733946,range_boundary,
10:0010:02_L1SL50_L2SL50_L3SL70_TP80,10:00-10:02,50,50,70,-1475.0,1774.0,1.2027118644067796,,80.0
