experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,lot1_take_profit,lot2_take_profit,lot3_take_profit,take_profit
12:0012:02_L1SL50TP60_L2SL60TP60_L3SL60TP40,12:00-12:02,50,60,60,-624.0,3085.0,4.943910256410256,60.0,60.0,40.0,
10:3010:32_L1SL25TP50_L2SL30TP50_L3SL50TP40,10:30-10:32,25,30,50,-1050.0,1758.0,1.6742857142857144,50.0,50.0,40.0,
10:3010:32_L1SL15TP60_L2SL25TP50_L3SL60TP40,10:30-10:32,15,25,60,-847.0,2250.0,2.656434474616293,60.0,50.0,40.0,
11:3011:32_L1SL15_L2SL65_L3SL70_TP60,11:30-11:32,15,65,70,-1274.0,3181.0,2.4968602825745685,,,,60.0
11:3011:32_L1SL15_L2SL25_L3SL55_TP80,11:30-11:32,15,25,55,-914.0,2599.0,2.8435448577680527,,,,80.0
11:3011:32_L1SL15TP50_L2SL15TP60_L3SL20TP40,11:30-11:32,15,15,20,-499.0,1305.0,2.6152304609218437,50.0,60.0,40.0,
10:3010:32_L1SL30TP50_L2SL30TP50_L3SL50TP40,10:30-10:32,30,30,50,-1170.0,1669.0,1.4264957264957265,50.0,50.0,40.0,
10:3010:32_L1SL25TP60_L2SL25TP40_L3SL30TP50,10:30-10:32,25,25,30,-760.0,2045.0,2.6907894736842106,60.0,40.0,50.0,
12:0012:02_L1SL25TP50_L2SL25TP40_L3SL30TP60,12:00-12:02,25,25,30,-613.0,1866.0,3.0440456769983686,50.0,40.0,60.0,
10:3010:32_L1SL20TP40_L2SL50TP50_L3SL55TP50,10:30-10:32,20,50,55,-1124.0,1879.0,1.6717081850533808,40.0,50.0,50.0,
