experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,long_pnl,short_pnl,risk_adjusted_return,take_profit_mode,take_profit,lot1_take_profit,lot2_take_profit,lot3_take_profit
10:3010:32_L1SL15_L2SL15_L3SL15_RangeBoundary,10:30-10:32,15,15,15,-390.0,2334.0,0.0,0.0,5.984615384615385,range_boundary,,,,
10:3010:32_L1SL15_L2SL15_L3SL15_TP100,10:30-10:32,15,15,15,-1035.0,2121.0,0.0,0.0,2.0492753623188404,,100.0,,,
10:3010:32_L1SL15TP30_L2SL15TP30_L3SL15TP30,10:30-10:32,15,15,15,-360.0,2655.0,0.0,0.0,7.375,,,30.0,30.0,30.0
10:3010:32_L1SL15TP30_L2SL15TP30_L3SL15TP40,10:30-10:32,15,15,15,-430.0,2595.0,0.0,0.0,6.034883720930233,,,30.0,30.0,40.0
10:3010:32_L1SL15TP30_L2SL15TP40_L3SL15TP30,10:30-10:32,15,15,15,-430.0,2595.0,0.0,0.0,6.034883720930233,,,30.0,40.0,30.0
10:3010:32_L1SL15TP30_L2SL15TP40_L3SL15TP40,10:30-10:32,15,15,15,-545.0,2535.0,0.0,0.0,4.651376146788991,,,30.0,40.0,40.0
10:3010:32_L1SL15TP40_L2SL15TP30_L3SL15TP30,10:30-10:32,15,15,15,-430.0,2595.0,0.0,0.0,6.034883720930233,,,40.0,30.0,30.0
10:3010:32_L1SL15TP40_L2SL15TP30_L3SL15TP40,10:30-10:32,15,15,15,-545.0,2535.0,0.0,0.0,4.651376146788991,,,40.0,30.0,40.0
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP30,10:30-10:32,15,15,15,-545.0,2535.0,0.0,0.0,4.651376146788991,,,40.0,40.0,30.0
10:3010:32_L1SL15TP40_L2SL15TP40_L3SL15TP40,10:30-10:32,15,15,15,-660.0,2475.0,0.0,0.0,3.75,,,40.0,40.0,40.0
12:0012:02_L1SL15_L2SL15_L3SL15_RangeBoundary,12:00-12:02,15,15,15,-228.0,2586.0,0.0,0.0,11.342105263157896,range_boundary,,,,
12:0012:02_L1SL15_L2SL15_L3SL15_TP100,12:00-12:02,15,15,15,-1869.0,1023.0,0.0,0.0,0.5473515248796148,,100.0,,,
12:0012:02_L1SL15TP30_L2SL15TP30_L3SL15TP30,12:00-12:02,15,15,15,-315.0,2430.0,0.0,0.0,7.714285714285714,,,30.0,30.0,30.0
12:0012:02_L1SL15TP30_L2SL15TP30_L3SL15TP40,12:00-12:02,15,15,15,-330.0,2230.0,0.0,0.0,6.757575757575758,,,30.0,30.0,40.0
12:0012:02_L1SL15TP30_L2SL15TP40_L3SL15TP30,12:00-12:02,15,15,15,-330.0,2230.0,0.0,0.0,6.757575757575758,,,30.0,40.0,30.0
12:0012:02_L1SL15TP30_L2SL15TP40_L3SL15TP40,12:00-12:02,15,15,15,-440.0,2030.0,0.0,0.0,4.613636363636363,,,30.0,40.0,40.0
12:0012:02_L1SL15TP40_L2SL15TP30_L3SL15TP30,12:00-12:02,15,15,15,-330.0,2230.0,0.0,0.0,6.757575757575758,,,40.0,30.0,30.0
12:0012:02_L1SL15TP40_L2SL15TP30_L3SL15TP40,12:00-12:02,15,15,15,-440.0,2030.0,0.0,0.0,4.613636363636363,,,40.0,30.0,40.0
12:0012:02_L1SL15TP40_L2SL15TP40_L3SL15TP30,12:00-12:02,15,15,15,-440.0,2030.0,0.0,0.0,4.613636363636363,,,40.0,40.0,30.0
12:0012:02_L1SL15TP40_L2SL15TP40_L3SL15TP40,12:00-12:02,15,15,15,-600.0,1830.0,0.0,0.0,3.05,,,40.0,40.0,40.0
