experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,mdd,total_pnl,risk_adjusted_return,take_profit
12:0012:02_L1SL45_L2SL45_L3SL60_TP70,12:00-12:02,45,45,60,-416.0,3330.0,8.004807692307692,70
10:0010:02_L1SL45_L2SL65_L3SL65_TP60,10:00-10:02,45,65,65,-1811.0,1503.0,0.8299282164549973,60
10:0010:02_L1SL15_L2SL50_L3SL50_TP80,10:00-10:02,15,50,50,-1331.0,2329.0,1.7498121712997745,80
12:3012:32_L1SL25_L2SL30_L3SL70_TP80,12:30-12:32,25,30,70,-867.0,2482.0,2.8627450980392157,80
11:0011:02_L1SL15_L2SL20_L3SL20_TP70,11:00-11:02,15,20,20,-631.0,487.0,0.7717908082408875,70
10:3010:32_L1SL45_L2SL60_L3SL70_TP50,10:30-10:32,45,60,70,-1460.0,2276.0,1.558904109589041,50
10:3010:32_L1SL30_L2SL45_L3SL55_TP70,10:30-10:32,30,45,55,-1094.0,2480.0,2.26691042047532,70
10:3010:32_L1SL15_L2SL15_L3SL65_TP70,10:30-10:32,15,15,65,-643.0,2424.0,3.769828926905132,70
12:3012:32_L1SL25_L2SL25_L3SL65_TP70,12:30-12:32,25,25,65,-901.0,2418.0,2.683684794672586,70
10:0010:02_L1SL45_L2SL45_L3SL60_TP80,10:00-10:02,45,45,60,-1729.0,2150.0,1.2434933487565067,80
12:3012:32_L1SL15_L2SL15_L3SL65_TP70,12:30-12:32,15,15,65,-618.0,1972.0,3.190938511326861,70
12:3012:32_L1SL25_L2SL30_L3SL65_TP60,12:30-12:32,25,30,65,-817.0,2483.0,3.039167686658507,60
13:0013:02_L1SL30_L2SL30_L3SL65_TP70,13:00-13:02,30,30,65,-1033.0,240.0,0.23233301064859632,70
12:0012:02_L1SL15_L2SL20_L3SL45_TP60,12:00-12:02,15,20,45,-337.0,2779.0,8.246290801186944,60
10:0010:02_L1SL30_L2SL30_L3SL70_TP60,10:00-10:02,30,30,70,-1529.0,1549.0,1.013080444735121,60
12:0012:02_L1SL20_L2SL50_L3SL60_TP60,12:00-12:02,20,50,60,-346.0,3065.0,8.858381502890174,60
11:3011:32_L1SL15_L2SL30_L3SL60_TP50,11:30-11:32,15,30,60,-614.0,2077.0,3.3827361563517915,50
10:0010:02_L1SL15_L2SL65_L3SL65_TP40,10:00-10:02,15,65,65,-1494.0,1472.0,0.9852744310575636,40
10:0010:02_L1SL15_L2SL55_L3SL70_TP80,10:00-10:02,15,55,70,-1482.0,1955.0,1.3191632928475034,80
10:0010:02_L1SL30_L2SL50_L3SL70_TP60,10:00-10:02,30,50,70,-1748.0,1580.0,0.9038901601830663,60
10:3010:32_L1SL30_L2SL30_L3SL50_TP50,10:30-10:32,30,30,50,-1093.0,2293.0,2.0978956999085088,50
