error,experiment_id,total_pnl,max_drawdown,total_trades,win_rate,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,take_profit
'take_profit_points',10:3010:31_L1SL20_L2SL50_L3SL50_TP30,0,-999,0,0,10:30-10:31,20,50,50,30
'take_profit_points',10:3010:31_L1SL10_L2SL35_L3SL55_TP70,0,-999,0,0,10:30-10:31,10,35,55,70
'take_profit_points',11:3011:31_L1SL20_L2SL40_L3SL50_TP80,0,-999,0,0,11:30-11:31,20,40,50,80
'take_profit_points',11:3011:31_L1SL15_L2SL50_L3SL55_TP90,0,-999,0,0,11:30-11:31,15,50,55,90
'take_profit_points',11:3011:31_L1SL15_L2SL30_L3SL35_TP70,0,-999,0,0,11:30-11:31,15,30,35,70
'take_profit_points',10:3010:31_L1SL25_L2SL45_L3SL45_TP100,0,-999,0,0,10:30-10:31,25,45,45,100
'take_profit_points',10:3010:31_L1SL20_L2SL35_L3SL60_TP100,0,-999,0,0,10:30-10:31,20,35,60,100
'take_profit_points',10:3010:31_L1SL20_L2SL25_L3SL50_TP30,0,-999,0,0,10:30-10:31,20,25,50,30
'take_profit_points',12:3012:31_L1SL20_L2SL20_L3SL60_TP30,0,-999,0,0,12:30-12:31,20,20,60,30
'take_profit_points',10:3010:31_L1SL10_L2SL45_L3SL45_TP70,0,-999,0,0,10:30-10:31,10,45,45,70
'take_profit_points',10:3010:31_L1SL10_L2SL40_L3SL55_TP70,0,-999,0,0,10:30-10:31,10,40,55,70
'take_profit_points',10:3010:31_L1SL20_L2SL30_L3SL45_TP100,0,-999,0,0,10:30-10:31,20,30,45,100
'take_profit_points',11:3011:31_L1SL15_L2SL25_L3SL45_TP100,0,-999,0,0,11:30-11:31,15,25,45,100
'take_profit_points',11:3011:31_L1SL15_L2SL35_L3SL55_TP40,0,-999,0,0,11:30-11:31,15,35,55,40
'take_profit_points',12:3012:31_L1SL30_L2SL45_L3SL55_TP60,0,-999,0,0,12:30-12:31,30,45,55,60
'take_profit_points',10:3010:31_L1SL10_L2SL40_L3SL40_TP40,0,-999,0,0,10:30-10:31,10,40,40,40
'take_profit_points',11:3011:31_L1SL10_L2SL40_L3SL50_TP70,0,-999,0,0,11:30-11:31,10,40,50,70
'take_profit_points',12:3012:31_L1SL20_L2SL20_L3SL45_TP70,0,-999,0,0,12:30-12:31,20,20,45,70
'take_profit_points',11:3011:31_L1SL15_L2SL25_L3SL55_TP80,0,-999,0,0,11:30-11:31,15,25,55,80
'take_profit_points',12:3012:31_L1SL20_L2SL45_L3SL50_TP100,0,-999,0,0,12:30-12:31,20,45,50,100
'take_profit_points',11:3011:31_L1SL20_L2SL45_L3SL45_TP90,0,-999,0,0,11:30-11:31,20,45,45,90
'take_profit_points',10:3010:31_L1SL10_L2SL20_L3SL60_TP80,0,-999,0,0,10:30-10:31,10,20,60,80
'take_profit_points',10:3010:31_L1SL30_L2SL40_L3SL45_TP60,0,-999,0,0,10:30-10:31,30,40,45,60
'take_profit_points',12:3012:31_L1SL20_L2SL20_L3SL60_TP90,0,-999,0,0,12:30-12:31,20,20,60,90
'take_profit_points',12:3012:31_L1SL10_L2SL20_L3SL30_TP60,0,-999,0,0,12:30-12:31,10,20,30,60
'take_profit_points',11:3011:31_L1SL20_L2SL45_L3SL45_TP70,0,-999,0,0,11:30-11:31,20,45,45,70
'take_profit_points',10:3010:31_L1SL30_L2SL35_L3SL50_TP40,0,-999,0,0,10:30-10:31,30,35,50,40
'take_profit_points',11:3011:31_L1SL15_L2SL25_L3SL30_TP60,0,-999,0,0,11:30-11:31,15,25,30,60
'take_profit_points',11:3011:31_L1SL30_L2SL45_L3SL60_TP80,0,-999,0,0,11:30-11:31,30,45,60,80
'take_profit_points',10:3010:31_L1SL20_L2SL35_L3SL60_TP80,0,-999,0,0,10:30-10:31,20,35,60,80
'take_profit_points',10:3010:31_L1SL20_L2SL30_L3SL40_TP100,0,-999,0,0,10:30-10:31,20,30,40,100
'take_profit_points',12:3012:31_L1SL15_L2SL20_L3SL40_TP30,0,-999,0,0,12:30-12:31,15,20,40,30
