experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,take_profit,total_pnl,max_drawdown,win_rate,total_trades
10:3010:31_L1SL20_L2SL50_L3SL50_TP30,10:30-10:31,20,50,50,30,1599.0,-1105.0,71.05,152
10:3010:31_L1SL10_L2SL35_L3SL55_TP70,10:30-10:31,10,35,55,70,2037.0,-849.0,67.11,152
11:3011:31_L1SL20_L2SL40_L3SL50_TP80,11:30-11:31,20,40,50,80,1948.0,-557.0,71.9,153
11:3011:31_L1SL15_L2SL50_L3SL55_TP90,11:30-11:31,15,50,55,90,2332.0,-554.0,77.27,154
11:3011:31_L1SL15_L2SL30_L3SL35_TP70,11:30-11:31,15,30,35,70,1286.0,-542.0,66.88,154
10:3010:31_L1SL25_L2SL45_L3SL45_TP100,10:30-10:31,25,45,45,100,2136.0,-993.0,69.74,152
10:3010:31_L1SL20_L2SL35_L3SL60_TP100,10:30-10:31,20,35,60,100,2442.0,-811.0,67.11,152
10:3010:31_L1SL20_L2SL25_L3SL50_TP30,10:30-10:31,20,25,50,30,1966.0,-747.0,61.84,152
12:3012:31_L1SL20_L2SL20_L3SL60_TP30,12:30-12:31,20,20,60,30,1370.0,-541.0,60.65,155
10:3010:31_L1SL10_L2SL45_L3SL45_TP70,10:30-10:31,10,45,45,70,2103.0,-852.0,69.74,152
10:3010:31_L1SL10_L2SL40_L3SL55_TP70,10:30-10:31,10,40,55,70,2104.0,-887.0,68.42,152
10:3010:31_L1SL20_L2SL30_L3SL45_TP100,10:30-10:31,20,30,45,100,2290.0,-751.0,63.82,152
11:3011:31_L1SL15_L2SL25_L3SL45_TP100,11:30-11:31,15,25,45,100,1306.0,-478.0,64.29,154
11:3011:31_L1SL15_L2SL35_L3SL55_TP40,11:30-11:31,15,35,55,40,2061.0,-536.0,70.78,154
12:3012:31_L1SL30_L2SL45_L3SL55_TP60,12:30-12:31,30,45,55,60,2224.0,-591.0,78.06,155
10:3010:31_L1SL10_L2SL40_L3SL40_TP40,10:30-10:31,10,40,40,40,2043.0,-771.0,68.42,152
11:3011:31_L1SL10_L2SL40_L3SL50_TP70,11:30-11:31,10,40,50,70,1843.0,-464.0,72.73,154
12:3012:31_L1SL20_L2SL20_L3SL45_TP70,12:30-12:31,20,20,45,70,1551.0,-552.0,61.04,154
11:3011:31_L1SL15_L2SL25_L3SL55_TP80,11:30-11:31,15,25,55,80,1686.0,-475.0,65.58,154
12:3012:31_L1SL20_L2SL45_L3SL50_TP100,12:30-12:31,20,45,50,100,2014.0,-505.0,75.32,154
