配置ID,第2口觸發點,第2口回檔率,第3口觸發點,總P&L,LONG_P&L,SHORT_P&L,總交易次數,LONG交易次數,SHORT交易次數,總勝率,LONG勝率,SHORT勝率,執行時間
1,30,10%,40,1725.8,793.1,932.7,134,75,59,59.7%,60.0%,59.3%,0.526s
2,30,10%,41,1777.0,804.3,972.7,134,75,59,59.7%,60.0%,59.3%,0.445s
3,30,10%,42,1570.7,671.7,899.0,131,73,58,58.8%,58.9%,58.6%,0.440s
4,30,10%,43,1544.1,613.9,930.2,130,72,58,58.5%,58.3%,58.6%,0.524s
5,30,10%,44,1562.5,613.9,948.6,130,72,58,58.5%,58.3%,58.6%,0.447s
6,30,10%,45,1393.5,478.4,915.1,129,71,58,57.4%,56.3%,58.6%,0.505s
7,30,10%,46,1430.3,479.2,951.1,129,71,58,57.4%,56.3%,58.6%,0.534s
8,30,10%,47,1401.2,524.0,877.2,128,71,57,57.0%,56.3%,57.9%,0.777s
9,30,10%,48,1425.2,531.2,894.0,128,71,57,57.0%,56.3%,57.9%,0.501s
10,30,10%,49,1296.5,387.3,909.2,127,70,57,56.7%,55.7%,57.9%,0.535s
11,30,10%,50,1282.7,338.3,944.4,127,70,57,55.9%,54.3%,57.9%,0.441s
12,30,10%,51,1327.5,363.9,963.6,127,70,57,55.9%,54.3%,57.9%,0.677s
13,30,10%,52,1405.9,438.3,967.6,127,70,57,55.9%,54.3%,57.9%,0.579s
14,30,10%,53,1463.5,483.1,980.4,127,70,57,55.9%,54.3%,57.9%,0.480s
15,30,10%,54,1252.4,323.9,928.5,125,69,56,55.2%,53.6%,57.1%,0.971s
16,30,10%,55,1288.4,332.7,955.7,125,69,56,55.2%,53.6%,57.1%,0.548s
17,30,10%,56,1400.4,422.3,978.1,125,69,56,55.2%,53.6%,57.1%,0.531s
18,30,10%,57,1297.7,355.6,942.1,124,68,56,54.8%,52.9%,57.1%,0.493s
19,30,10%,58,1324.9,363.6,961.3,124,68,56,54.8%,52.9%,57.1%,0.569s
