配置ID,第1口觸發點,第1口回檔率,第2口觸發點,第2口回檔率,第3口觸發點,第3口回檔率,總P&L,LONG_P&L,SHORT_P&L,總交易次數,LONG交易次數,SHORT交易次數,總勝率,LONG勝率,SHORT勝率,執行時間
1151,14,10%,40,10%,41,20%,2596.2,1313.5,1282.7,136,76,60,57.4%,56.6%,58.3%,0.434s
1146,14,10%,39,10%,41,20%,2566.5,1299.1,1267.4,136,76,60,57.4%,56.6%,58.3%,0.443s
601,12,10%,40,10%,41,20%,2590.3,1285.3,1305.0,136,76,60,57.4%,56.6%,58.3%,0.471s
596,12,10%,39,10%,41,20%,2560.6,1270.9,1289.7,136,76,60,57.4%,56.6%,58.3%,0.457s
591,12,10%,38,10%,41,20%,2529.1,1256.5,1272.6,136,76,60,57.4%,56.6%,58.3%,0.496s
566,12,10%,33,10%,41,20%,2450.5,1246.2,1204.3,133,74,59,59.4%,59.5%,59.3%,0.446s
561,12,10%,32,10%,41,20%,2364.1,1232.7,1131.4,133,74,59,59.4%,59.5%,59.3%,0.431s
1116,14,10%,33,10%,41,20%,2414.1,1232.1,1182.0,133,74,59,59.4%,59.5%,59.3%,1.054s
1152,14,10%,40,15%,41,20%,2422.4,1220.6,1201.8,136,76,60,57.4%,56.6%,58.3%,0.490s
1206,14,15%,40,10%,41,20%,2461.8,1219.7,1242.2,136,76,60,57.4%,56.6%,58.3%,0.512s
