配置ID,第2口觸發點,第2口回檔率,第3口觸發點,總P&L,LONG_P&L,SHORT_P&L,總交易次數,LONG交易次數,SHORT交易次數,總勝率,LONG勝率,SHORT勝率,執行時間
1052,40,10%,41,2162.5,943.3,1219.2,136,76,60,57.4%,56.6%,58.3%,0.437s
947,39,10%,41,2132.8,928.9,1203.9,136,76,60,57.4%,56.6%,58.3%,0.457s
1051,40,10%,40,2111.3,932.1,1179.2,136,76,60,57.4%,56.6%,58.3%,0.446s
946,39,10%,40,2081.6,917.7,1163.9,136,76,60,57.4%,56.6%,58.3%,0.436s
317,33,10%,41,2066.1,947.6,1118.5,134,75,59,59.7%,60.0%,59.3%,0.448s
316,33,10%,40,2014.9,936.4,1078.5,134,75,59,59.7%,60.0%,59.3%,0.441s
842,38,10%,41,2011.3,824.5,1186.8,136,76,60,57.4%,56.6%,58.3%,0.443s
737,37,10%,41,2004.3,821.1,1183.2,136,76,60,57.4%,56.6%,58.3%,0.435s
422,34,10%,41,1998.8,877.6,1121.2,134,75,59,59.0%,58.7%,59.3%,0.439s
1073,40,15%,41,1987.3,849.0,1138.3,136,76,60,57.4%,56.6%,58.3%,0.486s
