配置ID,第1口觸發點,第1口回檔率,第2口觸發點,第2口回檔率,第3口觸發點,第3口回檔率,總P&L,LONG_P&L,SHORT_P&L,總交易次數,LONG交易次數,SHORT交易次數,總勝率,LONG勝率,SHORT勝率,執行時間
326,11,10%,40,10%,41,20%,2620.6,1180.1,1440.5,136,76,60,57.4%,56.6%,58.3%,0.447s
51,10,10%,40,10%,41,20%,2605.5,1125.2,1480.3,136,76,60,57.4%,56.6%,58.3%,0.445s
1151,14,10%,40,10%,41,20%,2596.2,1313.5,1282.7,136,76,60,57.4%,56.6%,58.3%,0.434s
321,11,10%,39,10%,41,20%,2590.9,1165.7,1425.2,136,76,60,57.4%,56.6%,58.3%,0.466s
601,12,10%,40,10%,41,20%,2590.3,1285.3,1305.0,136,76,60,57.4%,56.6%,58.3%,0.471s
46,10,10%,39,10%,41,20%,2575.8,1110.8,1465.0,136,76,60,57.4%,56.6%,58.3%,0.428s
316,11,10%,38,10%,41,20%,2572.0,1163.9,1408.1,136,76,60,57.4%,56.6%,58.3%,0.489s
1146,14,10%,39,10%,41,20%,2566.5,1299.1,1267.4,136,76,60,57.4%,56.6%,58.3%,0.443s
596,12,10%,39,10%,41,20%,2560.6,1270.9,1289.7,136,76,60,57.4%,56.6%,58.3%,0.457s
41,10,10%,38,10%,41,20%,2556.9,1109.0,1447.9,136,76,60,57.4%,56.6%,58.3%,0.445s
