實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
3887,SHORT_ONLY,09:45-10:00,0.0,139.0,139.0,1186.0,48.7%,25(20%)/40(20%)/50(20%)
3881,SHORT_ONLY,09:45-10:00,0.0,359.2,359.2,868.0,50.8%,25(20%)/40(20%)/40(20%)
3884,SHORT_ONLY,09:45-10:00,0.0,11.0,11.0,1194.0,48.7%,25(20%)/40(20%)/45(20%)
3875,SHORT_ONLY,09:45-10:00,0.0,133.2,133.2,1183.0,48.3%,25(20%)/40(15%)/45(20%)
3878,SHORT_ONLY,09:45-10:00,0.0,261.1,261.1,1175.0,48.3%,25(20%)/40(15%)/50(20%)
3869,SHORT_ONLY,09:45-10:00,0.0,384.5,384.5,1159.0,48.3%,25(20%)/40(10%)/50(20%)
3872,SHORT_ONLY,09:45-10:00,0.0,494.4,494.4,845.0,50.8%,25(20%)/40(15%)/40(20%)
3863,SHORT_ONLY,09:45-10:00,0.0,630.9,630.9,818.0,50.8%,25(20%)/40(10%)/40(20%)
3866,SHORT_ONLY,09:45-10:00,0.0,256.5,256.5,1167.0,48.3%,25(20%)/40(10%)/45(20%)
3857,SHORT_ONLY,09:45-10:00,0.0,194.8,194.8,981.0,50.9%,25(20%)/35(20%)/45(20%)
3860,SHORT_ONLY,09:45-10:00,0.0,322.8,322.8,973.0,50.9%,25(20%)/35(20%)/50(20%)
3851,SHORT_ONLY,09:45-10:00,0.0,435.6,435.6,961.0,49.2%,25(20%)/35(15%)/50(20%)
3854,SHORT_ONLY,09:45-10:00,0.0,530.2,530.2,666.0,53.0%,25(20%)/35(20%)/40(20%)
3845,SHORT_ONLY,09:45-10:00,0.0,655.4,655.4,642.0,51.7%,25(20%)/35(15%)/40(20%)
3848,SHORT_ONLY,09:45-10:00,0.0,307.6,307.6,969.0,49.2%,25(20%)/35(15%)/45(20%)
3839,SHORT_ONLY,09:45-10:00,0.0,416.0,416.0,952.0,49.2%,25(20%)/35(10%)/45(20%)
3842,SHORT_ONLY,09:45-10:00,0.0,544.0,544.0,944.0,49.2%,25(20%)/35(10%)/50(20%)
3833,SHORT_ONLY,09:45-10:00,0.0,164.4,164.4,950.0,50.9%,25(20%)/30(20%)/50(20%)
3836,SHORT_ONLY,09:45-10:00,0.0,776.0,776.0,640.0,51.7%,25(20%)/35(10%)/40(20%)
3827,SHORT_ONLY,09:45-10:00,0.0,425.8,425.8,651.0,53.5%,25(20%)/30(20%)/40(20%)
3830,SHORT_ONLY,09:45-10:00,0.0,36.4,36.4,958.0,50.9%,25(20%)/30(20%)/45(20%)
3821,SHORT_ONLY,09:45-10:00,0.0,123.8,123.8,950.0,48.3%,25(20%)/30(15%)/45(20%)
3824,SHORT_ONLY,09:45-10:00,0.0,251.8,251.8,942.0,48.3%,25(20%)/30(15%)/50(20%)
3815,SHORT_ONLY,09:45-10:00,0.0,339.1,339.1,929.0,48.3%,25(20%)/30(10%)/50(20%)
3818,SHORT_ONLY,09:45-10:00,0.0,528.0,528.0,631.0,51.7%,25(20%)/30(15%)/40(20%)
3809,SHORT_ONLY,09:45-10:00,0.0,630.1,630.1,609.0,51.7%,25(20%)/30(10%)/40(20%)
3812,SHORT_ONLY,09:45-10:00,0.0,211.1,211.1,937.0,48.3%,25(20%)/30(10%)/45(20%)
3803,SHORT_ONLY,09:45-10:00,0.0,98.2,98.2,870.0,52.9%,25(20%)/25(20%)/45(20%)
3806,SHORT_ONLY,09:45-10:00,0.0,165.6,165.6,862.0,52.4%,25(20%)/25(20%)/50(20%)
3797,SHORT_ONLY,09:45-10:00,0.0,233.2,233.2,861.0,45.8%,25(20%)/25(15%)/50(20%)
3800,SHORT_ONLY,09:45-10:00,0.0,369.2,369.2,702.0,54.6%,25(20%)/25(20%)/40(20%)
3791,SHORT_ONLY,09:45-10:00,0.0,452.6,452.6,687.0,50.0%,25(20%)/25(15%)/40(20%)
3794,SHORT_ONLY,09:45-10:00,0.0,168.3,168.3,869.0,46.6%,25(20%)/25(15%)/45(20%)
3785,SHORT_ONLY,09:45-10:00,0.0,238.5,238.5,870.0,46.6%,25(20%)/25(10%)/45(20%)
3788,SHORT_ONLY,09:45-10:00,0.0,300.7,300.7,862.0,45.8%,25(20%)/25(10%)/50(20%)
3779,SHORT_ONLY,09:45-10:00,0.0,216.6,216.6,1180.0,49.2%,25(15%)/40(20%)/50(20%)
3782,SHORT_ONLY,09:45-10:00,0.0,535.9,535.9,682.0,50.0%,25(20%)/25(10%)/40(20%)
3773,SHORT_ONLY,09:45-10:00,0.0,442.6,442.6,857.0,50.8%,25(15%)/40(20%)/40(20%)
3776,SHORT_ONLY,09:45-10:00,0.0,88.5,88.5,1188.0,49.2%,25(15%)/40(20%)/45(20%)
3767,SHORT_ONLY,09:45-10:00,0.0,210.7,210.7,1176.0,48.7%,25(15%)/40(15%)/45(20%)
3770,SHORT_ONLY,09:45-10:00,0.0,338.7,338.7,1168.0,48.7%,25(15%)/40(15%)/50(20%)
3761,SHORT_ONLY,09:45-10:00,0.0,462.1,462.1,1152.0,48.3%,25(15%)/40(10%)/50(20%)
3764,SHORT_ONLY,09:45-10:00,0.0,577.8,577.8,834.0,50.8%,25(15%)/40(15%)/40(20%)
3755,SHORT_ONLY,09:45-10:00,0.0,714.2,714.2,807.0,50.8%,25(15%)/40(10%)/40(20%)
3758,SHORT_ONLY,09:45-10:00,0.0,334.1,334.1,1160.0,48.3%,25(15%)/40(10%)/45(20%)
3749,SHORT_ONLY,09:45-10:00,0.0,285.6,285.6,966.0,52.5%,25(15%)/35(20%)/45(20%)
3752,SHORT_ONLY,09:45-10:00,0.0,413.6,413.6,958.0,52.5%,25(15%)/35(20%)/50(20%)
3743,SHORT_ONLY,09:45-10:00,0.0,526.4,526.4,944.0,50.9%,25(15%)/35(15%)/50(20%)
3746,SHORT_ONLY,09:45-10:00,0.0,626.8,626.8,646.0,54.2%,25(15%)/35(20%)/40(20%)
3737,SHORT_ONLY,09:45-10:00,0.0,751.9,751.9,644.0,53.0%,25(15%)/35(15%)/40(20%)
3740,SHORT_ONLY,09:45-10:00,0.0,398.4,398.4,952.0,50.9%,25(15%)/35(15%)/45(20%)
3731,SHORT_ONLY,09:45-10:00,0.0,506.8,506.8,937.0,49.2%,25(15%)/35(10%)/45(20%)
3734,SHORT_ONLY,09:45-10:00,0.0,634.8,634.8,929.0,49.2%,25(15%)/35(10%)/50(20%)
3725,SHORT_ONLY,09:45-10:00,0.0,258.2,258.2,935.0,53.4%,25(15%)/30(20%)/50(20%)
3728,SHORT_ONLY,09:45-10:00,0.0,872.5,872.5,642.0,51.7%,25(15%)/35(10%)/40(20%)
3719,SHORT_ONLY,09:45-10:00,0.0,525.5,525.5,631.0,55.1%,25(15%)/30(20%)/40(20%)
3722,SHORT_ONLY,09:45-10:00,0.0,130.2,130.2,943.0,53.4%,25(15%)/30(20%)/45(20%)
3713,SHORT_ONLY,09:45-10:00,0.0,217.6,217.6,934.0,50.9%,25(15%)/30(15%)/45(20%)
3716,SHORT_ONLY,09:45-10:00,0.0,345.6,345.6,926.0,50.9%,25(15%)/30(15%)/50(20%)
3707,SHORT_ONLY,09:45-10:00,0.0,432.9,432.9,914.0,48.3%,25(15%)/30(10%)/50(20%)
3710,SHORT_ONLY,09:45-10:00,0.0,627.6,627.6,611.0,53.5%,25(15%)/30(15%)/40(20%)
3701,SHORT_ONLY,09:45-10:00,0.0,729.8,729.8,589.0,51.7%,25(15%)/30(10%)/40(20%)
3704,SHORT_ONLY,09:45-10:00,0.0,304.9,304.9,922.0,48.3%,25(15%)/30(10%)/45(20%)
3695,SHORT_ONLY,09:45-10:00,0.0,211.4,211.4,841.0,58.5%,25(15%)/25(20%)/45(20%)
3698,SHORT_ONLY,09:45-10:00,0.0,278.9,278.9,833.0,58.5%,25(15%)/25(20%)/50(20%)
3689,SHORT_ONLY,09:45-10:00,0.0,346.4,346.4,832.0,52.4%,25(15%)/25(15%)/50(20%)
3692,SHORT_ONLY,09:45-10:00,0.0,482.4,482.4,678.0,58.5%,25(15%)/25(20%)/40(20%)
3683,SHORT_ONLY,09:45-10:00,0.0,565.8,565.8,672.0,54.6%,25(15%)/25(15%)/40(20%)
