實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
3883,LONG_ONLY,12:45-13:00,16.8,0.0,16.8,632.0,48.2%,25(20%)/40(20%)/45(20%)
3884,SHORT_ONLY,12:45-13:00,0.0,220.0,220.0,593.0,43.6%,25(20%)/40(20%)/45(20%)
3885,BOTH,12:45-13:00,-2.2,-25.0,-27.2,509.0,45.6%,25(20%)/40(20%)/45(20%)
3886,LONG_ONLY,12:45-13:00,10.8,0.0,10.8,638.0,48.2%,25(20%)/40(20%)/50(20%)
3887,SHORT_ONLY,12:45-13:00,0.0,140.0,140.0,612.0,43.6%,25(20%)/40(20%)/50(20%)
3888,BOTH,12:45-13:00,-8.2,-76.4,-84.6,541.0,45.6%,25(20%)/40(20%)/50(20%)
3877,LONG_ONLY,12:45-13:00,47.7,0.0,47.7,624.0,48.2%,25(20%)/40(15%)/50(20%)
3878,SHORT_ONLY,12:45-13:00,0.0,190.9,190.9,603.0,43.6%,25(20%)/40(15%)/50(20%)
3879,BOTH,12:45-13:00,30.4,-38.6,-8.3,505.0,45.6%,25(20%)/40(15%)/50(20%)
3880,LONG_ONLY,12:45-13:00,-49.4,0.0,-49.4,638.0,48.2%,25(20%)/40(20%)/40(20%)
3881,SHORT_ONLY,12:45-13:00,0.0,196.2,196.2,604.0,43.6%,25(20%)/40(20%)/40(20%)
3882,BOTH,12:45-13:00,-46.0,-40.8,-86.8,527.0,45.6%,25(20%)/40(20%)/40(20%)
3871,LONG_ONLY,12:45-13:00,-12.5,0.0,-12.5,634.0,48.2%,25(20%)/40(15%)/40(20%)
3872,SHORT_ONLY,12:45-13:00,0.0,247.1,247.1,572.0,43.6%,25(20%)/40(15%)/40(20%)
3873,BOTH,12:45-13:00,-7.5,-3.0,-10.5,492.0,45.6%,25(20%)/40(15%)/40(20%)
3874,LONG_ONLY,12:45-13:00,53.7,0.0,53.7,628.0,48.2%,25(20%)/40(15%)/45(20%)
3875,SHORT_ONLY,12:45-13:00,0.0,270.9,270.9,561.0,43.6%,25(20%)/40(15%)/45(20%)
3876,BOTH,12:45-13:00,36.4,12.8,49.1,492.0,45.6%,25(20%)/40(15%)/45(20%)
3865,LONG_ONLY,12:45-13:00,106.6,0.0,106.6,624.0,48.2%,25(20%)/40(10%)/45(20%)
3866,SHORT_ONLY,12:45-13:00,0.0,321.8,321.8,545.0,43.6%,25(20%)/40(10%)/45(20%)
3867,BOTH,12:45-13:00,82.1,50.5,132.6,485.0,45.6%,25(20%)/40(10%)/45(20%)
3868,LONG_ONLY,12:45-13:00,100.6,0.0,100.6,620.0,48.2%,25(20%)/40(10%)/50(20%)
3869,SHORT_ONLY,12:45-13:00,0.0,241.8,241.8,591.0,43.6%,25(20%)/40(10%)/50(20%)
3870,BOTH,12:45-13:00,76.1,-0.9,75.2,498.0,45.6%,25(20%)/40(10%)/50(20%)
3864,BOTH,12:45-13:00,38.3,34.7,73.0,485.0,45.6%,25(20%)/40(10%)/40(20%)
3859,LONG_ONLY,12:45-13:00,34.4,0.0,34.4,634.0,50.6%,25(20%)/35(20%)/50(20%)
3860,SHORT_ONLY,12:45-13:00,0.0,140.2,140.2,644.0,43.6%,25(20%)/35(20%)/50(20%)
3861,BOTH,12:45-13:00,-23.2,-61.8,-85.0,545.0,46.5%,25(20%)/35(20%)/50(20%)
3862,LONG_ONLY,12:45-13:00,40.4,0.0,40.4,630.0,48.2%,25(20%)/40(10%)/40(20%)
3863,SHORT_ONLY,12:45-13:00,0.0,298.0,298.0,538.0,43.6%,25(20%)/40(10%)/40(20%)
3853,LONG_ONLY,12:45-13:00,-25.8,0.0,-25.8,644.0,50.6%,25(20%)/35(20%)/40(20%)
3854,SHORT_ONLY,12:45-13:00,0.0,196.4,196.4,632.0,43.6%,25(20%)/35(20%)/40(20%)
3855,BOTH,12:45-13:00,-61.0,-26.2,-87.2,539.0,46.5%,25(20%)/35(20%)/40(20%)
3856,LONG_ONLY,12:45-13:00,40.4,0.0,40.4,638.0,50.6%,25(20%)/35(20%)/45(20%)
3857,SHORT_ONLY,12:45-13:00,0.0,220.2,220.2,623.0,43.6%,25(20%)/35(20%)/45(20%)
3858,BOTH,12:45-13:00,-17.2,-10.4,-27.6,529.0,46.5%,25(20%)/35(20%)/45(20%)
3847,LONG_ONLY,12:45-13:00,80.0,0.0,80.0,634.0,50.6%,25(20%)/35(15%)/45(20%)
3848,SHORT_ONLY,12:45-13:00,0.0,269.1,269.1,596.0,43.6%,25(20%)/35(15%)/45(20%)
3849,BOTH,12:45-13:00,11.8,26.2,38.0,509.0,46.5%,25(20%)/35(15%)/45(20%)
3850,LONG_ONLY,12:45-13:00,74.0,0.0,74.0,630.0,50.6%,25(20%)/35(15%)/50(20%)
3851,SHORT_ONLY,12:45-13:00,0.0,189.1,189.1,617.0,43.6%,25(20%)/35(15%)/50(20%)
3852,BOTH,12:45-13:00,5.8,-25.2,-19.4,525.0,46.5%,25(20%)/35(15%)/50(20%)
3841,LONG_ONLY,12:45-13:00,128.9,0.0,128.9,626.0,50.6%,25(20%)/35(10%)/50(20%)
3842,SHORT_ONLY,12:45-13:00,0.0,237.9,237.9,606.0,43.6%,25(20%)/35(10%)/50(20%)
3843,BOTH,12:45-13:00,50.1,11.4,61.5,513.0,46.5%,25(20%)/35(10%)/50(20%)
3844,LONG_ONLY,12:45-13:00,13.8,0.0,13.8,640.0,50.6%,25(20%)/35(15%)/40(20%)
3845,SHORT_ONLY,12:45-13:00,0.0,245.2,245.2,605.0,43.6%,25(20%)/35(15%)/40(20%)
3846,BOTH,12:45-13:00,-31.9,10.4,-21.6,519.0,46.5%,25(20%)/35(15%)/40(20%)
3835,LONG_ONLY,12:45-13:00,68.7,0.0,68.7,636.0,50.6%,25(20%)/35(10%)/40(20%)
3836,SHORT_ONLY,12:45-13:00,0.0,294.1,294.1,577.0,43.6%,25(20%)/35(10%)/40(20%)
3837,BOTH,12:45-13:00,12.3,47.0,59.3,501.0,46.5%,25(20%)/35(10%)/40(20%)
3838,LONG_ONLY,12:45-13:00,134.9,0.0,134.9,630.0,50.6%,25(20%)/35(10%)/45(20%)
