實驗ID,時間區間,多方損益,多方MDD估算,多方勝率估算,多方交易次數,參數,備註
2628,12:30-12:45,1324.5,1521.7,53.1%,44,25(10%)/30(10%)/50(20%),MDD/勝率為估算值
2625,12:30-12:45,1284.7,1873.8,53.1%,44,25(10%)/30(10%)/45(20%),MDD/勝率為估算值
2736,12:30-12:45,1284.3,1835.7,51.7%,45,25(15%)/30(10%)/50(20%),MDD/勝率為估算值
2637,12:30-12:45,1281.4,1846.9,53.6%,45,25(10%)/30(15%)/50(20%),MDD/勝率為估算值
2331,12:30-12:45,1260.5,1407.8,50.7%,45,20(10%)/35(10%)/50(20%),MDD/勝率為估算值
2655,12:30-12:45,1259.4,2270.6,47.8%,45,25(10%)/35(10%)/50(20%),MDD/勝率為估算值
2304,12:30-12:45,1255.4,1160.6,55.5%,45,20(10%)/30(10%)/50(20%),MDD/勝率為估算值
2733,12:30-12:45,1244.5,2365.5,51.7%,45,25(15%)/30(10%)/45(20%),MDD/勝率為估算值
2844,12:30-12:45,1244.2,2451.9,51.7%,45,25(20%)/30(10%)/50(20%),MDD/勝率為估算值
2634,12:30-12:45,1241.6,2383.7,53.6%,45,25(10%)/30(15%)/45(20%),MDD/勝率為估算值
2745,12:30-12:45,1241.2,2341.2,52.1%,44,25(15%)/30(15%)/50(20%),MDD/勝率為估算值
2646,12:30-12:45,1238.3,2359.7,53.6%,45,25(10%)/30(20%)/50(20%),MDD/勝率為估算值
2358,12:30-12:45,1231.9,1832.8,50.7%,45,20(10%)/40(10%)/50(20%),MDD/勝率為估算值
2682,12:30-12:45,1230.8,2822.1,47.8%,45,25(10%)/40(10%)/50(20%),MDD/勝率為估算值
2439,12:30-12:45,1227.8,1629.2,50.7%,45,20(15%)/35(10%)/50(20%),MDD/勝率為估算值
2601,12:30-12:45,1227.2,1492.3,53.5%,43,25(10%)/25(10%)/50(20%),MDD/勝率為估算值
2763,12:30-12:45,1225.2,3128.7,46.9%,45,25(15%)/35(10%)/50(20%),MDD/勝率為估算值
2328,12:30-12:45,1220.7,1752.0,50.7%,45,20(10%)/35(10%)/45(20%),MDD/勝率為估算值
2412,12:30-12:45,1220.7,1310.4,55.5%,45,20(15%)/30(10%)/50(20%),MDD/勝率為估算值
2652,12:30-12:45,1219.6,3290.4,47.8%,45,25(10%)/35(10%)/45(20%),MDD/勝率為估算值
2301,12:30-12:45,1215.6,1369.4,55.5%,45,20(10%)/30(10%)/45(20%),MDD/勝率為估算值
2340,12:30-12:45,1215.0,1754.9,50.7%,45,20(10%)/35(15%)/50(20%),MDD/勝率為估算值
2664,12:30-12:45,1213.8,3259.1,47.8%,45,25(10%)/35(15%)/50(20%),MDD/勝率為估算值
2313,12:30-12:45,1212.3,1368.1,55.5%,45,20(10%)/30(15%)/50(20%),MDD/勝率為估算值
2841,12:30-12:45,1204.4,3463.8,51.7%,45,25(20%)/30(10%)/45(20%),MDD/勝率為估算值
2742,12:30-12:45,1201.5,3294.9,52.1%,44,25(15%)/30(15%)/45(20%),MDD/勝率為估算值
2853,12:30-12:45,1201.1,3488.4,51.7%,45,25(20%)/30(15%)/50(20%),MDD/勝率為估算值
2643,12:30-12:45,1198.5,3342.3,53.6%,45,25(10%)/30(20%)/45(20%),MDD/勝率為估算值
2754,12:30-12:45,1198.2,3257.3,52.6%,45,25(15%)/30(20%)/50(20%),MDD/勝率為估算值
2790,12:30-12:45,1196.5,4060.5,46.9%,45,25(15%)/40(10%)/50(20%),MDD/勝率為估算值
2610,12:30-12:45,1193.0,1805.7,54.5%,45,25(10%)/25(15%)/50(20%),MDD/勝率為估算值
2367,12:30-12:45,1192.5,2263.7,50.7%,45,20(10%)/40(15%)/50(20%),MDD/勝率為估算值
2355,12:30-12:45,1192.1,2315.0,50.7%,45,20(10%)/40(10%)/45(20%),MDD/勝率為估算值
2691,12:30-12:45,1191.5,4078.0,47.8%,45,25(10%)/40(15%)/50(20%),MDD/勝率為估算值
2679,12:30-12:45,1191.0,4149.1,47.8%,45,25(10%)/40(10%)/45(20%),MDD/勝率為估算值
2871,12:30-12:45,1190.9,5503.9,46.9%,45,25(20%)/35(10%)/50(20%),MDD/勝率為估算值
2436,12:30-12:45,1188.0,2103.4,50.7%,45,20(15%)/35(10%)/45(20%),MDD/勝率為估算值
2598,12:30-12:45,1187.4,1864.6,53.5%,43,25(10%)/25(10%)/45(20%),MDD/勝率為估算值
2709,12:30-12:45,1187.0,1827.0,52.6%,45,25(15%)/25(10%)/50(20%),MDD/勝率為估算值
2007,12:30-12:45,1186.0,1991.5,47.8%,45,15(10%)/35(10%)/50(20%),MDD/勝率為估算值
2760,12:30-12:45,1185.3,5257.3,46.9%,45,25(15%)/35(10%)/45(20%),MDD/勝率為估算值
