實驗ID,時間區間,空方損益,空方MDD估算,空方勝率估算,空方交易次數,參數,備註
2709,11:30-11:45,765.5,3277.1,36.7%,76,25(15%)/25(10%)/50(20%),MDD/勝率為估算值
2277,11:30-11:45,745.8,24033.6,50.3%,72,20(10%)/25(10%)/50(20%),MDD/勝率為估算值
2708,11:30-11:45,744.8,448.0,49.3%,107,25(15%)/25(10%)/50(20%),MDD/勝率為估算值
2718,11:30-11:45,723.8,2657.7,40.6%,69,25(15%)/25(15%)/50(20%),MDD/勝率為估算值
2706,11:30-11:45,718.0,2784.5,36.7%,76,25(15%)/25(10%)/45(20%),MDD/勝率為估算值
2817,11:30-11:45,704.9,2432.4,36.7%,76,25(20%)/25(10%)/50(20%),MDD/勝率為估算值
2276,11:30-11:45,700.0,440.0,52.3%,101,20(10%)/25(10%)/50(20%),MDD/勝率為估算值
2385,11:30-11:45,699.2,22860.6,38.9%,76,20(15%)/25(10%)/50(20%),MDD/勝率為估算值
2286,11:30-11:45,698.7,25330.5,43.9%,76,20(10%)/25(15%)/50(20%),MDD/勝率為估算值
2274,11:30-11:45,698.4,56155.1,50.3%,72,20(10%)/25(10%)/45(20%),MDD/勝率為估算值
2705,11:30-11:45,691.2,395.0,49.3%,107,25(15%)/25(10%)/45(20%),MDD/勝率為估算值
2717,11:30-11:45,686.9,456.0,53.9%,98,25(15%)/25(15%)/50(20%),MDD/勝率為估算值
2727,11:30-11:45,676.8,2179.4,45.4%,76,25(15%)/25(20%)/50(20%),MDD/勝率為估算值
2715,11:30-11:45,676.4,2274.9,40.6%,69,25(15%)/25(15%)/45(20%),MDD/勝率為估算值
2703,11:30-11:45,663.9,1987.9,36.7%,76,25(15%)/25(10%)/40(20%),MDD/勝率為估算值
2826,11:30-11:45,663.2,2035.4,36.7%,76,25(20%)/25(15%)/50(20%),MDD/勝率為估算值
2816,11:30-11:45,662.6,466.0,49.3%,107,25(20%)/25(10%)/50(20%),MDD/勝率為估算值
1952,11:30-11:45,661.9,472.0,49.7%,104,15(10%)/25(10%)/50(20%),MDD/勝率為估算值
2814,11:30-11:45,657.5,2088.9,36.7%,76,25(20%)/25(10%)/45(20%),MDD/勝率為估算值
2493,11:30-11:45,654.2,5631.0,38.2%,76,20(20%)/25(10%)/50(20%),MDD/勝率為估算值
2295,11:30-11:45,653.2,7974.2,43.9%,76,20(10%)/25(20%)/50(20%),MDD/勝率為估算值
2394,11:30-11:45,652.1,7585.4,41.2%,72,20(15%)/25(15%)/50(20%),MDD/勝率為估算值
2382,11:30-11:45,651.8,13313.6,38.9%,76,20(15%)/25(10%)/45(20%),MDD/勝率為估算值
2283,11:30-11:45,651.3,14228.6,43.9%,76,20(10%)/25(15%)/45(20%),MDD/勝率為估算值
2273,11:30-11:45,646.4,387.0,52.3%,101,20(10%)/25(10%)/45(20%),MDD/勝率為估算值
1953,11:30-11:45,644.4,5070.4,38.7%,74,15(10%)/25(10%)/50(20%),MDD/勝率為估算值
2271,11:30-11:45,644.2,5847.3,41.2%,72,20(10%)/25(10%)/40(20%),MDD/勝率為估算值
2285,11:30-11:45,636.6,445.0,55.5%,107,20(10%)/25(15%)/50(20%),MDD/勝率為估算值
2384,11:30-11:45,634.4,447.0,49.3%,107,20(15%)/25(10%)/50(20%),MDD/勝率為估算值
2714,11:30-11:45,633.3,403.0,53.9%,98,25(15%)/25(15%)/45(20%),MDD/勝率為估算值
2724,11:30-11:45,629.4,1873.6,45.4%,76,25(15%)/25(20%)/45(20%),MDD/勝率為估算值
2726,11:30-11:45,623.6,467.0,58.6%,107,25(15%)/25(20%)/50(20%),MDD/勝率為估算值
2060,11:30-11:45,623.1,475.0,48.3%,107,15(15%)/25(10%)/50(20%),MDD/勝率為估算值
2712,11:30-11:45,622.2,1687.1,40.6%,69,25(15%)/25(15%)/40(20%),MDD/勝率為估算值
2061,11:30-11:45,618.5,3906.3,37.4%,76,15(15%)/25(10%)/50(20%),MDD/勝率為估算值
2835,11:30-11:45,616.2,1705.8,40.2%,68,25(20%)/25(20%)/50(20%),MDD/勝率為估算值
2823,11:30-11:45,615.9,1752.6,36.7%,76,25(20%)/25(15%)/45(20%),MDD/勝率為估算值
2813,11:30-11:45,609.0,413.0,49.3%,107,25(20%)/25(10%)/45(20%),MDD/勝率為估算值
1949,11:30-11:45,608.3,419.0,49.7%,104,15(10%)/25(10%)/45(20%),MDD/勝率為估算值
2502,11:30-11:45,607.1,3651.4,38.2%,76,20(20%)/25(15%)/50(20%),MDD/勝率為估算值
2490,11:30-11:45,606.8,4413.7,38.2%,76,20(20%)/25(10%)/45(20%),MDD/勝率為估算值
2403,11:30-11:45,606.6,4425.2,43.9%,76,20(15%)/25(20%)/50(20%),MDD/勝率為估算值
2292,11:30-11:45,605.8,5929.5,43.9%,76,20(10%)/25(20%)/45(20%),MDD/勝率為估算值
2391,11:30-11:45,604.7,5679.1,41.2%,72,20(15%)/25(15%)/45(20%),MDD/勝率為估算值
2825,11:30-11:45,604.7,474.0,49.3%,107,25(20%)/25(15%)/50(20%),MDD/勝率為估算值
2811,11:30-11:45,603.3,1573.5,36.7%,76,25(20%)/25(10%)/40(20%),MDD/勝率為估算值
2379,11:30-11:45,597.6,3630.2,38.9%,76,20(15%)/25(10%)/40(20%),MDD/勝率為估算值
2280,11:30-11:45,597.1,3660.1,43.9%,76,20(10%)/25(15%)/40(20%),MDD/勝率為估算值
1950,11:30-11:45,597.0,3986.6,38.7%,74,15(10%)/25(10%)/45(20%),MDD/勝率為估算值
1961,11:30-11:45,594.1,480.0,51.4%,107,15(10%)/25(15%)/50(20%),MDD/勝率為估算值
1962,11:30-11:45,593.9,3317.2,40.3%,76,15(10%)/25(15%)/50(20%),MDD/勝率為估算值
2169,11:30-11:45,592.6,3148.7,37.4%,76,15(20%)/25(10%)/50(20%),MDD/勝率為估算值
2168,11:30-11:45,584.3,477.0,48.3%,107,15(20%)/25(10%)/50(20%),MDD/勝率為估算值
2282,11:30-11:45,583.0,392.0,55.5%,107,20(10%)/25(15%)/45(20%),MDD/勝率為估算值
2702,11:30-11:45,581.6,429.0,49.3%,107,25(15%)/25(10%)/40(20%),MDD/勝率為估算值
2381,11:30-11:45,580.8,394.0,49.3%,107,20(15%)/25(10%)/45(20%),MDD/勝率為估算值
2721,11:30-11:45,575.1,1429.2,45.4%,76,25(15%)/25(20%)/40(20%),MDD/勝率為估算值
2294,11:30-11:45,574.9,453.0,55.5%,107,20(10%)/25(20%)/50(20%),MDD/勝率為估算值
2058,11:30-11:45,571.1,3140.9,37.4%,76,15(15%)/25(10%)/45(20%),MDD/勝率為估算值
2393,11:30-11:45,571.0,452.0,52.3%,101,20(15%)/25(15%)/50(20%),MDD/勝率為估算值
2492,11:30-11:45,570.3,455.0,49.3%,107,20(20%)/25(10%)/50(20%),MDD/勝率為估算值
2723,11:30-11:45,570.0,414.0,58.6%,107,25(15%)/25(20%)/45(20%),MDD/勝率為估算值
2057,11:30-11:45,569.5,422.0,48.3%,107,15(15%)/25(10%)/45(20%),MDD/勝率為估算值
2832,11:30-11:45,568.8,1469.5,40.2%,68,25(20%)/25(20%)/45(20%),MDD/勝率為估算值
2070,11:30-11:45,568.0,2721.6,38.7%,74,15(15%)/25(15%)/50(20%),MDD/勝率為估算值
2511,11:30-11:45,561.6,2291.6,39.7%,72,20(20%)/25(20%)/50(20%),MDD/勝率為估算值
2820,11:30-11:45,561.6,1350.2,36.7%,76,25(20%)/25(15%)/40(20%),MDD/勝率為估算值
2499,11:30-11:45,559.7,2963.9,38.2%,76,20(20%)/25(15%)/45(20%),MDD/勝率為估算值
2400,11:30-11:45,559.2,3504.6,43.9%,76,20(15%)/25(20%)/45(20%),MDD/勝率為估算值
2069,11:30-11:45,555.4,483.0,49.7%,104,15(15%)/25(15%)/50(20%),MDD/勝率為估算值
2487,11:30-11:45,552.6,2319.3,38.2%,76,20(20%)/25(10%)/40(20%),MDD/勝率為估算值
2289,11:30-11:45,551.6,2606.4,43.9%,76,20(10%)/25(20%)/40(20%),MDD/勝率為估算值
2822,11:30-11:45,551.1,421.0,49.3%,107,25(20%)/25(15%)/45(20%),MDD/勝率為估算值
2388,11:30-11:45,550.5,2562.7,41.2%,72,20(15%)/25(15%)/40(20%),MDD/勝率為估算值
1959,11:30-11:45,546.5,2692.6,40.3%,76,15(10%)/25(15%)/45(20%),MDD/勝率為估算值
2166,11:30-11:45,545.2,2567.1,37.4%,76,15(20%)/25(10%)/45(20%),MDD/勝率為估算值
1971,11:30-11:45,545.0,2409.6,40.3%,76,15(10%)/25(20%)/50(20%),MDD/勝率為估算值
2736,11:30-11:45,544.0,1670.9,38.2%,76,25(15%)/30(10%)/50(20%),MDD/勝率為估算值
1947,11:30-11:45,542.8,2139.0,38.7%,74,15(10%)/25(10%)/40(20%),MDD/勝率為估算值
2178,11:30-11:45,542.1,2283.4,37.4%,76,15(20%)/25(15%)/50(20%),MDD/勝率為估算值
2834,11:30-11:45,541.4,485.0,53.3%,97,25(20%)/25(20%)/50(20%),MDD/勝率為估算值
1958,11:30-11:45,540.5,427.0,51.4%,107,15(10%)/25(15%)/45(20%),MDD/勝率為估算值
2270,11:30-11:45,536.8,421.0,52.3%,101,20(10%)/25(10%)/40(20%),MDD/勝率為估算值
2304,11:30-11:45,536.5,2966.8,38.8%,75,20(10%)/30(10%)/50(20%),MDD/勝率為估算值
2165,11:30-11:45,530.7,424.0,48.3%,107,15(20%)/25(10%)/45(20%),MDD/勝率為估算值
2711,11:30-11:45,523.7,437.0,53.9%,98,25(15%)/25(15%)/40(20%),MDD/勝率為估算值
2291,11:30-11:45,521.3,400.0,55.5%,107,20(10%)/25(20%)/45(20%),MDD/勝率為估算值
2067,11:30-11:45,520.6,2231.0,38.7%,74,15(15%)/25(15%)/45(20%),MDD/勝率為估算值
2079,11:30-11:45,519.1,2039.0,40.3%,76,15(15%)/25(20%)/50(20%),MDD/勝率為估算值
2390,11:30-11:45,517.4,399.0,52.3%,101,20(15%)/25(15%)/45(20%),MDD/勝率為估算值
2055,11:30-11:45,516.9,1832.1,37.4%,76,15(15%)/25(10%)/40(20%),MDD/勝率為估算值
2489,11:30-11:45,516.7,402.0,49.3%,107,20(20%)/25(10%)/45(20%),MDD/勝率為估算值
1970,11:30-11:45,516.0,492.0,50.4%,107,15(10%)/25(20%)/50(20%),MDD/勝率為估算值
2829,11:30-11:45,514.6,1150.4,40.2%,68,25(20%)/25(20%)/40(20%),MDD/勝率為估算值
2508,11:30-11:45,514.2,1906.5,39.7%,72,20(20%)/25(20%)/45(20%),MDD/勝率為估算值
2402,11:30-11:45,509.2,460.0,55.5%,107,20(15%)/25(20%)/50(20%),MDD/勝率為估算值
2501,11:30-11:45,506.9,460.0,49.3%,107,20(20%)/25(15%)/50(20%),MDD/勝率為估算值
2682,11:30-11:45,505.7,1521.3,35.3%,76,25(10%)/40(10%)/50(20%),MDD/勝率為估算值
2177,11:30-11:45,505.6,485.0,47.3%,107,15(20%)/25(15%)/50(20%),MDD/勝率為估算值
2496,11:30-11:45,505.5,1780.4,38.2%,76,20(20%)/25(15%)/40(20%),MDD/勝率為估算值
2397,11:30-11:45,505.0,1938.0,43.9%,76,20(15%)/25(20%)/40(20%),MDD/勝率為估算值
2066,11:30-11:45,501.8,430.0,49.7%,104,15(15%)/25(15%)/45(20%),MDD/勝率為估算值
2810,11:30-11:45,499.4,447.0,49.3%,107,25(20%)/25(10%)/40(20%),MDD/勝率為估算值
1946,11:30-11:45,498.7,453.0,49.7%,104,15(10%)/25(10%)/40(20%),MDD/勝率為估算值
1968,11:30-11:45,497.6,1982.3,40.3%,76,15(10%)/25(20%)/45(20%),MDD/勝率為估算值
2733,11:30-11:45,496.6,1401.8,38.2%,76,25(15%)/30(10%)/45(20%),MDD/勝率為估算值
2175,11:30-11:45,494.7,1883.1,37.4%,76,15(20%)/25(15%)/45(20%),MDD/勝率為估算值
1956,11:30-11:45,492.3,1638.3,40.3%,76,15(10%)/25(15%)/40(20%),MDD/勝率為估算值
2163,11:30-11:45,491.0,1589.5,37.4%,76,15(20%)/25(10%)/40(20%),MDD/勝率為估算值
2745,11:30-11:45,489.8,1328.2,38.4%,74,25(15%)/30(15%)/50(20%),MDD/勝率為估算值
2301,11:30-11:45,489.1,2321.1,38.8%,75,20(10%)/30(10%)/45(20%),MDD/勝率為估算值
2831,11:30-11:45,487.8,432.0,53.3%,97,25(20%)/25(20%)/45(20%),MDD/勝率為估算值
2735,11:30-11:45,486.0,520.0,50.4%,107,25(15%)/30(10%)/50(20%),MDD/勝率為估算值
2313,11:30-11:45,485.2,2049.2,39.6%,76,20(10%)/30(15%)/50(20%),MDD/勝率為估算值
2844,11:30-11:45,485.2,1315.3,38.2%,76,25(20%)/30(10%)/50(20%),MDD/勝率為估算值
2187,11:30-11:45,483.8,1687.2,38.7%,74,15(20%)/25(20%)/50(20%),MDD/勝率為估算值
2078,11:30-11:45,479.0,495.0,50.4%,107,15(15%)/25(20%)/50(20%),MDD/勝率為估算值
2279,11:30-11:45,473.4,426.0,55.5%,107,20(10%)/25(15%)/40(20%),MDD/勝率為估算值
2076,11:30-11:45,471.7,1684.1,40.3%,76,15(15%)/25(20%)/45(20%),MDD/勝率為估算值
2378,11:30-11:45,471.1,428.0,49.3%,107,20(15%)/25(10%)/40(20%),MDD/勝率為估算值
2064,11:30-11:45,466.4,1424.6,38.7%,74,15(15%)/25(15%)/40(20%),MDD/勝率為估算值
2790,11:30-11:45,464.1,1288.2,35.3%,76,25(15%)/40(10%)/50(20%),MDD/勝率為估算值
1967,11:30-11:45,462.4,439.0,50.4%,107,15(10%)/25(20%)/45(20%),MDD/勝率為估算值
2720,11:30-11:45,460.4,448.0,58.6%,107,25(15%)/25(20%)/40(20%),MDD/勝率為估算值
2505,11:30-11:45,460.0,1289.0,39.7%,72,20(20%)/25(20%)/40(20%),MDD/勝率為估算值
2054,11:30-11:45,459.9,456.0,48.3%,107,15(15%)/25(10%)/40(20%),MDD/勝率為估算值
2399,11:30-11:45,455.6,407.0,55.5%,107,20(15%)/25(20%)/45(20%),MDD/勝率為估算值
2498,11:30-11:45,453.4,407.0,49.3%,107,20(20%)/25(15%)/45(20%),MDD/勝率為估算值
2174,11:30-11:45,451.9,432.0,47.3%,107,15(20%)/25(15%)/45(20%),MDD/勝率為估算值
2303,11:30-11:45,447.9,515.0,49.8%,106,20(10%)/30(10%)/50(20%),MDD/勝率為估算值
2691,11:30-11:45,446.4,1195.8,35.3%,76,25(10%)/40(15%)/50(20%),MDD/勝率為估算值
2510,11:30-11:45,445.2,468.0,52.3%,101,20(20%)/25(20%)/50(20%),MDD/勝率為估算值
1965,11:30-11:45,443.4,1295.2,40.3%,76,15(10%)/25(20%)/40(20%),MDD/勝率為估算值
2730,11:30-11:45,442.4,1055.2,38.2%,76,25(15%)/30(10%)/40(20%),MDD/勝率為估算值
2742,11:30-11:45,442.4,1112.7,38.4%,74,25(15%)/30(15%)/45(20%),MDD/勝率為估算值
2819,11:30-11:45,441.5,455.0,49.3%,107,25(20%)/25(15%)/40(20%),MDD/勝率為估算值
2172,11:30-11:45,440.5,1246.6,37.4%,76,15(20%)/25(15%)/40(20%),MDD/勝率為估算值
2754,11:30-11:45,440.2,1060.8,38.2%,76,25(15%)/30(20%)/50(20%),MDD/勝率為估算值
