實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
1006,LONG_ONLY,12:00-13:00,326.9,0.0,326.9,812.0,52.2%,25(10%)/45(15%)/60(20%)
1000,LONG_ONLY,12:00-13:00,442.4,0.0,442.4,684.0,53.7%,25(10%)/45(15%)/50(20%)
1003,LONG_ONLY,12:00-13:00,304.4,0.0,304.4,812.0,52.2%,25(10%)/45(15%)/55(20%)
994,LONG_ONLY,12:00-13:00,365.1,0.0,365.1,805.0,52.2%,25(10%)/45(10%)/60(20%)
997,LONG_ONLY,12:00-13:00,429.1,0.0,429.1,690.0,53.7%,25(10%)/45(15%)/45(20%)
988,LONG_ONLY,12:00-13:00,480.7,0.0,480.7,677.0,53.7%,25(10%)/45(10%)/50(20%)
991,LONG_ONLY,12:00-13:00,342.7,0.0,342.7,805.0,52.2%,25(10%)/45(10%)/55(20%)
982,LONG_ONLY,12:00-13:00,304.2,0.0,304.2,788.0,52.2%,25(10%)/40(15%)/60(20%)
985,LONG_ONLY,12:00-13:00,467.3,0.0,467.3,683.0,53.7%,25(10%)/45(10%)/45(20%)
976,LONG_ONLY,12:00-13:00,419.8,0.0,419.8,660.0,53.7%,25(10%)/40(15%)/50(20%)
979,LONG_ONLY,12:00-13:00,281.8,0.0,281.8,788.0,52.2%,25(10%)/40(15%)/55(20%)
970,LONG_ONLY,12:00-13:00,377.8,0.0,377.8,678.0,53.7%,25(10%)/40(15%)/40(20%)
973,LONG_ONLY,12:00-13:00,406.4,0.0,406.4,666.0,53.7%,25(10%)/40(15%)/45(20%)
967,LONG_ONLY,12:00-13:00,350.0,0.0,350.0,780.0,52.2%,25(10%)/40(10%)/60(20%)
964,LONG_ONLY,12:00-13:00,327.6,0.0,327.6,780.0,52.2%,25(10%)/40(10%)/55(20%)
958,LONG_ONLY,12:00-13:00,452.2,0.0,452.2,658.0,53.7%,25(10%)/40(10%)/45(20%)
961,LONG_ONLY,12:00-13:00,465.6,0.0,465.6,652.0,53.7%,25(10%)/40(10%)/50(20%)
952,LONG_ONLY,12:00-13:00,234.2,0.0,234.2,795.0,52.2%,25(10%)/35(15%)/60(20%)
955,LONG_ONLY,12:00-13:00,423.6,0.0,423.6,670.0,53.7%,25(10%)/40(10%)/40(20%)
946,LONG_ONLY,12:00-13:00,349.9,0.0,349.9,667.0,53.7%,25(10%)/35(15%)/50(20%)
949,LONG_ONLY,12:00-13:00,211.8,0.0,211.8,795.0,52.2%,25(10%)/35(15%)/55(20%)
940,LONG_ONLY,12:00-13:00,307.9,0.0,307.9,685.0,53.7%,25(10%)/35(15%)/40(20%)
943,LONG_ONLY,12:00-13:00,336.4,0.0,336.4,673.0,53.7%,25(10%)/35(15%)/45(20%)
934,LONG_ONLY,12:00-13:00,257.3,0.0,257.3,788.0,52.2%,25(10%)/35(10%)/55(20%)
937,LONG_ONLY,12:00-13:00,279.7,0.0,279.7,788.0,52.2%,25(10%)/35(10%)/60(20%)
928,LONG_ONLY,12:00-13:00,381.9,0.0,381.9,666.0,53.7%,25(10%)/35(10%)/45(20%)
931,LONG_ONLY,12:00-13:00,395.3,0.0,395.3,660.0,53.7%,25(10%)/35(10%)/50(20%)
922,LONG_ONLY,12:00-13:00,230.5,0.0,230.5,901.0,52.9%,20(10%)/45(15%)/60(20%)
925,LONG_ONLY,12:00-13:00,353.3,0.0,353.3,678.0,53.7%,25(10%)/35(10%)/40(20%)
916,LONG_ONLY,12:00-13:00,346.1,0.0,346.1,773.0,54.4%,20(10%)/45(15%)/50(20%)
919,LONG_ONLY,12:00-13:00,208.1,0.0,208.1,901.0,52.9%,20(10%)/45(15%)/55(20%)
910,LONG_ONLY,12:00-13:00,271.1,0.0,271.1,894.0,52.9%,20(10%)/45(10%)/60(20%)
913,LONG_ONLY,12:00-13:00,332.7,0.0,332.7,779.0,54.4%,20(10%)/45(15%)/45(20%)
904,LONG_ONLY,12:00-13:00,386.7,0.0,386.7,766.0,54.4%,20(10%)/45(10%)/50(20%)
907,LONG_ONLY,12:00-13:00,248.7,0.0,248.7,894.0,52.9%,20(10%)/45(10%)/55(20%)
898,LONG_ONLY,12:00-13:00,204.4,0.0,204.4,877.0,52.9%,20(10%)/40(15%)/60(20%)
901,LONG_ONLY,12:00-13:00,373.3,0.0,373.3,772.0,54.4%,20(10%)/45(10%)/45(20%)
892,LONG_ONLY,12:00-13:00,320.1,0.0,320.1,749.0,54.4%,20(10%)/40(15%)/50(20%)
895,LONG_ONLY,12:00-13:00,182.1,0.0,182.1,877.0,52.9%,20(10%)/40(15%)/55(20%)
886,LONG_ONLY,12:00-13:00,278.1,0.0,278.1,767.0,54.4%,20(10%)/40(15%)/40(20%)
889,LONG_ONLY,12:00-13:00,306.6,0.0,306.6,755.0,54.4%,20(10%)/40(15%)/45(20%)
880,LONG_ONLY,12:00-13:00,230.0,0.0,230.0,869.0,52.9%,20(10%)/40(10%)/55(20%)
883,LONG_ONLY,12:00-13:00,252.4,0.0,252.4,869.0,52.9%,20(10%)/40(10%)/60(20%)
877,LONG_ONLY,12:00-13:00,368.0,0.0,368.0,741.0,54.4%,20(10%)/40(10%)/50(20%)
874,LONG_ONLY,12:00-13:00,354.6,0.0,354.6,747.0,54.4%,20(10%)/40(10%)/45(20%)
871,LONG_ONLY,12:00-13:00,326.0,0.0,326.0,759.0,54.4%,20(10%)/40(10%)/40(20%)
868,LONG_ONLY,12:00-13:00,134.5,0.0,134.5,884.0,52.9%,20(10%)/35(15%)/60(20%)
865,LONG_ONLY,12:00-13:00,112.1,0.0,112.1,884.0,52.9%,20(10%)/35(15%)/55(20%)
862,LONG_ONLY,12:00-13:00,250.1,0.0,250.1,756.0,54.4%,20(10%)/35(15%)/50(20%)
859,LONG_ONLY,12:00-13:00,236.7,0.0,236.7,762.0,54.4%,20(10%)/35(15%)/45(20%)
