實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
3165,BOTH,13:00-13:10,-825.6,87.7,-738.0,2355.9,39.0%,25(15%)/50(15%)/55(20%)
3168,BOTH,13:00-13:10,-792.0,96.3,-695.8,2301.8,39.0%,25(15%)/50(15%)/60(20%)
3159,BOTH,13:00-13:10,-769.0,132.9,-636.0,2199.0,39.0%,25(15%)/50(10%)/60(20%)
3162,BOTH,13:00-13:10,-854.0,44.5,-809.5,2497.6,39.0%,25(15%)/50(15%)/50(20%)
3156,BOTH,13:00-13:10,-802.5,124.3,-678.2,2253.2,39.0%,25(15%)/50(10%)/55(20%)
3147,BOTH,13:00-13:10,-809.6,73.2,-736.4,2294.4,39.0%,25(15%)/45(15%)/55(20%)
3153,BOTH,13:00-13:10,-831.0,81.2,-749.8,2394.8,39.0%,25(15%)/50(10%)/50(20%)
3150,BOTH,13:00-13:10,-776.0,81.8,-694.2,2240.2,39.0%,25(15%)/45(15%)/60(20%)
3141,BOTH,13:00-13:10,-836.5,14.4,-822.0,2458.0,39.0%,25(15%)/45(15%)/45(20%)
3144,BOTH,13:00-13:10,-838.0,30.1,-808.0,2436.0,39.0%,25(15%)/45(15%)/50(20%)
3138,BOTH,13:00-13:10,-749.0,119.7,-629.3,2132.3,39.0%,25(15%)/45(10%)/60(20%)
3132,BOTH,13:00-13:10,-811.0,67.8,-743.1,2328.1,39.0%,25(15%)/45(10%)/50(20%)
3135,BOTH,13:00-13:10,-782.5,111.0,-671.5,2186.5,39.0%,25(15%)/45(10%)/55(20%)
3129,BOTH,13:00-13:10,-809.4,52.2,-757.1,2350.1,39.0%,25(15%)/45(10%)/45(20%)
3126,BOTH,13:00-13:10,-735.0,31.6,-703.4,2168.3,39.8%,25(15%)/40(15%)/60(20%)
3120,BOTH,13:00-13:10,-797.0,-20.1,-817.1,2364.2,39.8%,25(15%)/40(15%)/50(20%)
3123,BOTH,13:00-13:10,-768.6,23.1,-745.5,2222.6,39.8%,25(15%)/40(15%)/55(20%)
3117,BOTH,13:00-13:10,-795.4,-35.8,-831.1,2386.2,39.8%,25(15%)/40(15%)/45(20%)
3114,BOTH,13:00-13:10,-732.2,-87.3,-819.5,2399.6,39.8%,25(15%)/40(15%)/40(20%)
3111,BOTH,13:00-13:10,-705.2,70.8,-634.4,2077.0,39.8%,25(15%)/40(10%)/60(20%)
3105,BOTH,13:00-13:10,-767.2,19.1,-748.2,2246.2,39.8%,25(15%)/40(10%)/50(20%)
3108,BOTH,13:00-13:10,-738.9,62.2,-676.6,2113.0,39.8%,25(15%)/40(10%)/55(20%)
3102,BOTH,13:00-13:10,-765.6,3.5,-762.2,2268.2,39.8%,25(15%)/40(10%)/45(20%)
3099,BOTH,13:00-13:10,-702.5,-48.1,-750.6,2281.6,39.8%,25(15%)/40(10%)/40(20%)
3096,BOTH,13:00-13:10,-772.6,-12.5,-785.1,2175.1,39.8%,25(15%)/35(15%)/60(20%)
3090,BOTH,13:00-13:10,-834.6,-64.3,-898.9,2370.9,39.8%,25(15%)/35(15%)/50(20%)
3093,BOTH,13:00-13:10,-806.2,-21.1,-827.3,2229.3,39.8%,25(15%)/35(15%)/55(20%)
3084,BOTH,13:00-13:10,-769.8,-131.5,-901.3,2406.3,39.8%,25(15%)/35(15%)/40(20%)
3087,BOTH,13:00-13:10,-833.0,-79.9,-912.9,2392.9,39.8%,25(15%)/35(15%)/45(20%)
3078,BOTH,13:00-13:10,-774.2,18.1,-756.1,2105.1,39.8%,25(15%)/35(10%)/55(20%)
3081,BOTH,13:00-13:10,-740.6,26.8,-713.9,2062.0,39.8%,25(15%)/35(10%)/60(20%)
3072,BOTH,13:00-13:10,-801.0,-40.6,-841.7,2268.7,39.8%,25(15%)/35(10%)/45(20%)
3075,BOTH,13:00-13:10,-802.6,-25.1,-827.7,2246.7,39.8%,25(15%)/35(10%)/50(20%)
3069,BOTH,13:00-13:10,-737.9,-92.2,-830.1,2282.1,39.8%,25(15%)/35(10%)/40(20%)
3066,BOTH,13:00-13:10,-797.0,136.9,-660.0,1953.0,41.0%,25(15%)/30(15%)/60(20%)
3063,BOTH,13:00-13:10,-830.5,128.3,-702.2,1989.0,41.0%,25(15%)/30(15%)/55(20%)
3060,BOTH,13:00-13:10,-859.0,85.1,-773.9,2049.8,41.0%,25(15%)/30(15%)/50(20%)
3057,BOTH,13:00-13:10,-857.4,69.5,-787.9,2071.8,41.0%,25(15%)/30(15%)/45(20%)
3054,BOTH,13:00-13:10,-794.1,17.9,-776.2,2095.2,41.0%,25(15%)/30(15%)/40(20%)
3048,BOTH,13:00-13:10,-796.1,166.7,-629.5,1956.0,40.7%,25(15%)/30(10%)/55(20%)
3051,BOTH,13:00-13:10,-762.5,175.2,-587.3,1920.0,40.7%,25(15%)/30(10%)/60(20%)
3045,BOTH,13:00-13:10,-824.5,123.5,-701.1,1990.0,40.7%,25(15%)/30(10%)/50(20%)
3042,BOTH,13:00-13:10,-823.0,107.8,-715.1,2014.0,40.7%,25(15%)/30(10%)/45(20%)
3039,BOTH,13:00-13:10,-759.8,56.2,-703.5,2018.0,40.7%,25(15%)/30(10%)/40(20%)
3036,BOTH,13:00-13:10,-758.8,135.9,-622.9,2180.8,39.8%,25(10%)/50(15%)/60(20%)
3033,BOTH,13:00-13:10,-792.4,127.3,-665.0,2235.1,39.8%,25(10%)/50(15%)/55(20%)
3030,BOTH,13:00-13:10,-820.8,84.2,-736.6,2376.7,39.8%,25(10%)/50(15%)/50(20%)
3027,BOTH,13:00-13:10,-735.7,172.6,-563.1,2113.0,39.8%,25(10%)/50(10%)/60(20%)
3024,BOTH,13:00-13:10,-769.3,164.0,-605.3,2149.0,39.8%,25(10%)/50(10%)/55(20%)
3021,BOTH,13:00-13:10,-797.7,120.8,-676.9,2273.9,39.8%,25(10%)/50(10%)/50(20%)
3015,BOTH,13:00-13:10,-776.4,112.9,-663.5,2173.5,39.8%,25(10%)/45(15%)/55(20%)
3018,BOTH,13:00-13:10,-742.8,121.5,-621.3,2123.0,39.8%,25(10%)/45(15%)/60(20%)
3012,BOTH,13:00-13:10,-804.8,69.7,-735.1,2315.1,39.8%,25(10%)/45(15%)/50(20%)
3009,BOTH,13:00-13:10,-803.2,54.1,-749.1,2337.1,39.8%,25(10%)/45(15%)/45(20%)
3006,BOTH,13:00-13:10,-715.7,159.3,-556.4,2093.0,39.8%,25(10%)/45(10%)/60(20%)
3003,BOTH,13:00-13:10,-749.3,150.7,-598.6,2129.0,39.8%,25(10%)/45(10%)/55(20%)
3000,BOTH,13:00-13:10,-777.7,107.5,-670.2,2207.2,39.8%,25(10%)/45(10%)/50(20%)
2994,BOTH,13:00-13:10,-701.8,71.3,-630.5,2079.0,40.7%,25(10%)/40(15%)/60(20%)
2997,BOTH,13:00-13:10,-776.1,91.9,-684.2,2229.2,39.8%,25(10%)/45(10%)/45(20%)
2988,BOTH,13:00-13:10,-763.8,19.5,-744.2,2243.2,40.7%,25(10%)/40(15%)/50(20%)
2991,BOTH,13:00-13:10,-735.4,62.7,-672.6,2115.0,40.7%,25(10%)/40(15%)/55(20%)
2985,BOTH,13:00-13:10,-762.1,3.9,-758.2,2265.2,40.7%,25(10%)/40(15%)/45(20%)
2979,BOTH,13:00-13:10,-672.0,110.5,-561.5,2046.0,40.7%,25(10%)/40(10%)/60(20%)
2982,BOTH,13:00-13:10,-699.0,-47.7,-746.6,2280.7,40.7%,25(10%)/40(15%)/40(20%)
2976,BOTH,13:00-13:10,-705.6,101.9,-603.7,2082.0,40.7%,25(10%)/40(10%)/55(20%)
