實驗ID,交易方向,時間區間,多頭損益,空頭損益,總損益,MDD,勝率,參數
31,BOTH,08:46-09:30,1743.2,351.1,2094.3,1893.0,66.2%,25(10%)/40(10%)/50(20%)
32,BOTH,08:46-09:30,2119.9,122.0,2241.9,1804.0,67.2%,25(10%)/45(10%)/45(20%)
33,BOTH,08:46-09:30,1877.3,155.6,2032.9,2029.0,64.9%,25(10%)/45(10%)/50(20%)
25,BOTH,08:46-09:30,1694.7,648.1,2342.8,1751.0,69.7%,25(10%)/30(10%)/50(20%)
26,BOTH,08:46-09:30,1434.1,1213.0,2647.1,1415.0,71.8%,25(10%)/35(10%)/40(20%)
27,BOTH,08:46-09:30,1563.7,784.8,2348.5,1574.0,70.0%,25(10%)/35(10%)/45(20%)
28,BOTH,08:46-09:30,1358.7,901.2,2259.9,1679.0,68.8%,25(10%)/35(10%)/50(20%)
29,BOTH,08:46-09:30,1856.2,738.5,2594.7,1591.0,70.2%,25(10%)/40(10%)/40(20%)
30,BOTH,08:46-09:30,1985.8,234.7,2220.5,1750.0,67.9%,25(10%)/40(10%)/45(20%)
19,BOTH,08:46-09:30,1768.1,407.8,2175.9,1521.0,66.4%,20(10%)/40(10%)/45(20%)
20,BOTH,08:46-09:30,1525.5,524.2,2049.7,1685.0,64.6%,20(10%)/40(10%)/50(20%)
21,BOTH,08:46-09:30,1887.8,298.7,2186.5,1583.0,65.6%,20(10%)/45(10%)/45(20%)
22,BOTH,08:46-09:30,1645.2,332.3,1977.5,1829.0,63.4%,20(10%)/45(10%)/50(20%)
23,BOTH,08:46-09:30,1770.1,901.7,2671.8,1477.0,72.4%,25(10%)/30(10%)/40(20%)
24,BOTH,08:46-09:30,1899.7,538.9,2438.6,1638.0,71.1%,25(10%)/30(10%)/45(20%)
13,BOTH,08:46-09:30,1651.3,766.4,2417.7,1273.0,69.0%,20(10%)/30(10%)/45(20%)
14,BOTH,08:46-09:30,1404.9,882.8,2287.7,1368.0,67.2%,20(10%)/30(10%)/50(20%)
15,BOTH,08:46-09:30,1216.4,1360.8,2577.2,1165.0,71.0%,20(10%)/35(10%)/40(20%)
16,BOTH,08:46-09:30,1346.0,914.6,2260.6,1324.0,68.7%,20(10%)/35(10%)/45(20%)
17,BOTH,08:46-09:30,1099.6,1031.0,2130.6,1481.0,66.9%,20(10%)/35(10%)/50(20%)
18,BOTH,08:46-09:30,1638.5,866.6,2505.1,1351.0,68.7%,20(10%)/40(10%)/40(20%)
7,BOTH,08:46-09:30,1655.9,927.1,2583.0,1174.0,68.7%,15(10%)/40(10%)/40(20%)
8,BOTH,08:46-09:30,1785.5,459.5,2245.0,1379.0,65.6%,15(10%)/40(10%)/45(20%)
9,BOTH,08:46-09:30,1438.9,575.9,2014.8,1526.0,63.1%,15(10%)/40(10%)/50(20%)
10,BOTH,08:46-09:30,1899.8,446.5,2346.3,1383.0,65.6%,15(10%)/45(10%)/45(20%)
11,BOTH,08:46-09:30,1553.2,480.1,2033.3,1574.0,62.6%,15(10%)/45(10%)/50(20%)
12,BOTH,08:46-09:30,1521.7,1200.6,2722.3,1109.0,71.4%,20(10%)/30(10%)/40(20%)
1,BOTH,08:46-09:30,1485.3,1362.3,2847.6,989.0,71.1%,15(10%)/30(10%)/40(20%)
2,BOTH,08:46-09:30,1614.9,919.3,2534.2,1153.0,68.0%,15(10%)/30(10%)/45(20%)
3,BOTH,08:46-09:30,1280.9,1035.7,2316.6,1153.0,65.4%,15(10%)/30(10%)/50(20%)
4,BOTH,08:46-09:30,1237.4,1474.4,2711.8,1026.0,71.0%,15(10%)/35(10%)/40(20%)
5,BOTH,08:46-09:30,1367.0,1019.4,2386.4,1247.0,67.9%,15(10%)/35(10%)/45(20%)
6,BOTH,08:46-09:30,1033.0,1135.8,2168.8,1333.0,65.4%,15(10%)/35(10%)/50(20%)
