配置ID,第2口觸發點,第2口回檔率,第3口觸發點,總P&L,LONG_P&L,SHORT_P&L,總交易次數,LONG交易次數,SHORT交易次數,總勝率,LONG勝率,SHORT勝率,執行時間
1,35,15%,50,1303.0,199.4,1103.6,126,69,57,54.0%,50.7%,57.9%,0.583s
2,35,15%,51,1347.8,225.0,1122.8,126,69,57,54.0%,50.7%,57.9%,0.537s
3,35,15%,52,1426.2,299.4,1126.8,126,69,57,54.0%,50.7%,57.9%,0.452s
4,35,20%,50,1165.2,130.4,1034.8,126,69,57,54.0%,50.7%,57.9%,0.493s
5,35,20%,51,1210.0,156.0,1054.0,126,69,57,54.0%,50.7%,57.9%,0.461s
6,35,20%,52,1288.4,230.4,1058.0,126,69,57,54.0%,50.7%,57.9%,0.575s
7,36,15%,50,1320.7,215.2,1105.6,128,70,58,53.1%,50.0%,56.9%,0.448s
8,36,15%,51,1365.5,240.8,1124.8,128,70,58,53.1%,50.0%,56.9%,0.449s
9,36,15%,52,1443.9,315.2,1128.8,128,70,58,53.1%,50.0%,56.9%,0.449s
10,36,20%,50,1175.8,142.4,1033.4,128,70,58,53.1%,50.0%,56.9%,0.464s
11,36,20%,51,1220.6,168.0,1052.6,128,70,58,53.1%,50.0%,56.9%,0.542s
12,36,20%,52,1299.0,242.4,1056.6,128,70,58,53.1%,50.0%,56.9%,0.527s
13,37,15%,50,1380.2,233.9,1146.4,128,70,58,53.1%,50.0%,56.9%,0.452s
14,37,15%,51,1425.0,259.5,1165.6,128,70,58,53.1%,50.0%,56.9%,0.505s
15,37,15%,52,1503.5,333.9,1169.6,128,70,58,53.1%,50.0%,56.9%,0.457s
16,37,20%,50,1235.0,163.2,1071.8,128,70,58,53.1%,50.0%,56.9%,0.466s
17,37,20%,51,1279.8,188.8,1091.0,128,70,58,53.1%,50.0%,56.9%,0.512s
18,37,20%,52,1358.2,263.2,1095.0,128,70,58,53.1%,50.0%,56.9%,0.484s
