配置ID,第1口觸發點,第1口回檔率,第2口觸發點,第2口回檔率,第3口觸發點,第3口回檔率,總P&L,LONG_P&L,SHORT_P&L,總交易次數,LONG交易次數,SHORT交易次數,總勝率,LONG勝率,SHORT勝率,執行時間
1,15,15%,35,15%,41,20%,1838.2,744.4,1093.9,134,75,59,58.2%,57.3%,59.3%,0.539s
2,15,15%,35,20%,41,20%,1683.7,662.5,1021.3,134,75,59,58.2%,57.3%,59.3%,0.511s
3,15,15%,36,15%,41,20%,1865.3,760.1,1105.2,136,76,60,57.4%,56.6%,58.3%,0.448s
4,15,15%,36,20%,41,20%,1703.1,674.5,1028.7,136,76,60,57.4%,56.6%,58.3%,0.443s
5,15,15%,37,15%,41,20%,1924.8,778.8,1146.0,136,76,60,57.4%,56.6%,58.3%,0.471s
6,15,15%,37,20%,41,20%,1762.3,695.3,1067.1,136,76,60,57.4%,56.6%,58.3%,1.415s
7,15,20%,35,15%,41,20%,1752.1,699.9,1052.2,134,75,59,58.2%,57.3%,59.3%,0.659s
8,15,20%,35,20%,41,20%,1597.6,618.0,979.6,134,75,59,58.2%,57.3%,59.3%,0.452s
9,15,20%,36,15%,41,20%,1779.1,715.6,1063.5,136,76,60,57.4%,56.6%,58.3%,0.465s
10,15,20%,36,20%,41,20%,1617.0,630.0,987.0,136,76,60,57.4%,56.6%,58.3%,0.501s
11,15,20%,37,15%,41,20%,1838.6,734.3,1104.3,136,76,60,57.4%,56.6%,58.3%,0.509s
12,15,20%,37,20%,41,20%,1676.2,650.8,1025.4,136,76,60,57.4%,56.6%,58.3%,0.454s
13,16,15%,35,15%,41,20%,1771.1,569.3,1201.8,134,75,59,58.2%,57.3%,59.3%,0.448s
14,16,15%,35,20%,41,20%,1614.2,487.4,1126.8,134,75,59,58.2%,57.3%,59.3%,0.446s
15,16,15%,36,15%,41,20%,1798.2,585.1,1213.1,136,76,60,57.4%,56.6%,58.3%,0.493s
16,16,15%,36,20%,41,20%,1633.6,499.4,1134.2,136,76,60,57.4%,56.6%,58.3%,0.456s
17,16,15%,37,15%,41,20%,1857.7,603.8,1253.9,136,76,60,57.4%,56.6%,58.3%,0.443s
18,16,15%,37,20%,41,20%,1692.8,520.2,1172.6,136,76,60,57.4%,56.6%,58.3%,0.455s
19,16,20%,35,15%,41,20%,1679.7,523.5,1156.3,134,75,59,58.2%,57.3%,59.3%,0.498s
20,16,20%,35,20%,41,20%,1522.8,441.6,1081.2,134,75,59,58.2%,57.3%,59.3%,0.439s
21,16,20%,36,15%,41,20%,1706.8,539.2,1167.6,136,76,60,57.4%,56.6%,58.3%,0.444s
22,16,20%,36,20%,41,20%,1542.2,453.6,1088.6,136,76,60,57.4%,56.6%,58.3%,0.453s
23,16,20%,37,15%,41,20%,1766.3,557.9,1208.4,136,76,60,57.4%,56.6%,58.3%,0.487s
24,16,20%,37,20%,41,20%,1601.4,474.4,1127.0,136,76,60,57.4%,56.6%,58.3%,0.493s
25,17,15%,35,15%,41,20%,1786.8,539.3,1247.6,134,75,59,58.2%,57.3%,59.3%,0.440s
26,17,15%,35,20%,41,20%,1625.3,455.2,1170.2,134,75,59,58.2%,57.3%,59.3%,0.444s
27,17,15%,36,15%,41,20%,1813.9,555.0,1258.9,136,76,60,57.4%,56.6%,58.3%,0.448s
28,17,15%,36,20%,41,20%,1644.7,467.2,1177.6,136,76,60,57.4%,56.6%,58.3%,0.514s
29,17,15%,37,15%,41,20%,1873.4,573.7,1299.7,136,76,60,57.4%,56.6%,58.3%,0.440s
30,17,15%,37,20%,41,20%,1704.0,488.0,1216.0,136,76,60,57.4%,56.6%,58.3%,0.826s
31,17,20%,35,15%,41,20%,1687.9,491.3,1196.6,134,75,59,58.2%,57.3%,59.3%,0.545s
32,17,20%,35,20%,41,20%,1526.4,407.2,1119.2,134,75,59,58.2%,57.3%,59.3%,0.562s
33,17,20%,36,15%,41,20%,1714.9,507.0,1207.9,136,76,60,57.4%,56.6%,58.3%,0.494s
34,17,20%,36,20%,41,20%,1545.8,419.2,1126.6,136,76,60,57.4%,56.6%,58.3%,0.472s
35,17,20%,37,15%,41,20%,1774.4,525.7,1248.7,136,76,60,57.4%,56.6%,58.3%,0.458s
36,17,20%,37,20%,41,20%,1605.0,440.0,1165.0,136,76,60,57.4%,56.6%,58.3%,0.519s
