配置ID,第2口觸發點,第2口回檔率,第3口觸發點,總P&L,LONG_P&L,SHORT_P&L,總交易次數,LONG交易次數,SHORT交易次數,總勝率,LONG勝率,SHORT勝率,執行時間
1,30,10%,40,0.0,0.0,0.0,0,0,0,0.0%,0.0%,0.0%,0.085s
2,30,10%,41,0.0,0.0,0.0,0,0,0,0.0%,0.0%,0.0%,0.023s
3,30,10%,42,0.0,0.0,0.0,0,0,0,0.0%,0.0%,0.0%,0.021s
4,30,20%,40,0.0,0.0,0.0,0,0,0,0.0%,0.0%,0.0%,0.020s
5,30,20%,41,0.0,0.0,0.0,0,0,0,0.0%,0.0%,0.0%,0.022s
6,30,20%,42,0.0,0.0,0.0,0,0,0,0.0%,0.0%,0.0%,0.027s
7,31,10%,40,0.0,0.0,0.0,0,0,0,0.0%,0.0%,0.0%,0.041s
8,31,10%,41,0.0,0.0,0.0,0,0,0,0.0%,0.0%,0.0%,0.029s
9,31,10%,42,0.0,0.0,0.0,0,0,0,0.0%,0.0%,0.0%,0.022s
10,31,20%,40,0.0,0.0,0.0,0,0,0,0.0%,0.0%,0.0%,0.042s
