experiment_id,time_interval,lot1_stop_loss,lot2_stop_loss,lot3_stop_loss,take_profit,lot1_take_profit,lot2_take_profit,lot3_take_profit,take_profit_mode,total_pnl,mdd,win_rate,total_trades,sharpe_ratio,profit_factor,avg_win,avg_loss,max_consecutive_losses,status
12:3012:32_L1SL15TP40_L2SL25TP60_L3SL30TP40_fixed_points,12:30-12:32,15,25,30,,40.0,60.0,40.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL15TP60_L2SL20TP60_L3SL30TP60_fixed_points,10:30-10:32,15,20,30,,60.0,60.0,60.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL15TP50_L2SL20TP40_L3SL25TP50_fixed_points,10:30-10:32,15,20,25,,50.0,40.0,50.0,,0,0,0,0,0,0,0,0,0,success
12:3012:32_L1SL20TP40_L2SL20TP40_L3SL30TP40_fixed_points,12:30-12:32,20,20,30,,40.0,40.0,40.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL20TP60_L2SL20TP50_L3SL25TP50_fixed_points,10:30-10:32,20,20,25,,60.0,50.0,50.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL20TP40_L2SL20TP60_L3SL25TP50_fixed_points,10:30-10:32,20,20,25,,40.0,60.0,50.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL15TP60_L2SL25TP60_L3SL30TP50_fixed_points,10:30-10:32,15,25,30,,60.0,60.0,50.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL15TP50_L2SL25TP40_L3SL25TP60_fixed_points,10:30-10:32,15,25,25,,50.0,40.0,60.0,,0,0,0,0,0,0,0,0,0,success
12:3012:32_L1SL20_L2SL20_L3SL30_TP50_fixed_points,12:30-12:32,20,20,30,50.0,,,,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL15TP60_L2SL20TP50_L3SL30TP40_fixed_points,10:30-10:32,15,20,30,,60.0,50.0,40.0,,0,0,0,0,0,0,0,0,0,success
12:3012:32_L1SL15TP60_L2SL25TP60_L3SL30TP50_fixed_points,12:30-12:32,15,25,30,,60.0,60.0,50.0,,0,0,0,0,0,0,0,0,0,success
12:3012:32_L1SL20TP60_L2SL25TP40_L3SL30TP50_fixed_points,12:30-12:32,20,25,30,,60.0,40.0,50.0,,0,0,0,0,0,0,0,0,0,success
12:3012:32_L1SL15TP50_L2SL20TP60_L3SL30TP50_fixed_points,12:30-12:32,15,20,30,,50.0,60.0,50.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL15TP50_L2SL20TP50_L3SL30TP50_fixed_points,10:30-10:32,15,20,30,,50.0,50.0,50.0,,0,0,0,0,0,0,0,0,0,success
12:3012:32_L1SL15TP50_L2SL25TP40_L3SL25TP50_fixed_points,12:30-12:32,15,25,25,,50.0,40.0,50.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL20TP50_L2SL25TP40_L3SL30TP60_fixed_points,10:30-10:32,20,25,30,,50.0,40.0,60.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL15TP50_L2SL20TP50_L3SL25TP60_fixed_points,10:30-10:32,15,20,25,,50.0,50.0,60.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL15TP50_L2SL20TP50_L3SL25TP50_fixed_points,10:30-10:32,15,20,25,,50.0,50.0,50.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL15TP50_L2SL20TP60_L3SL30TP50_fixed_points,10:30-10:32,15,20,30,,50.0,60.0,50.0,,0,0,0,0,0,0,0,0,0,success
10:3010:32_L1SL15TP60_L2SL25TP50_L3SL30TP50_fixed_points,10:30-10:32,15,25,30,,60.0,50.0,50.0,,0,0,0,0,0,0,0,0,0,success
