date,range_high,range_low,range_size,range_midpoint,has_long_entry,entry_time,entry_price,breakout_strength,total_pnl,lot1_pnl,lot2_pnl,lot3_pnl,lot1_exit_type,lot2_exit_type,lot3_exit_type,lot1_exit_time,lot2_exit_time,lot3_exit_time,lot1_exit_price,lot2_exit_price,lot3_exit_price,max_favorable,max_adverse,trade_duration_minutes
2024-07-08,23552.0,23513.0,39.0,23532.5,True,08:59:00,23553.0,1.0,1068,356,356,356,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23909.0,23909.0,23909.0,438.0,0.0,286.0
2024-07-09,23954.0,23926.0,28.0,23940.0,True,09:12:00,23963.0,9.0,-111,-37,-37,-37,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:44:00,09:44:00,09:44:00,23926.0,23926.0,23926.0,125.0,-64.0,32.0
2024-07-10,23811.0,23749.0,62.0,23780.0,True,08:49:00,23815.0,4.0,-198,-66,-66,-66,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:55:00,09:55:00,09:55:00,23749.0,23749.0,23749.0,33.0,-88.0,66.0
2024-07-11,24265.0,24201.0,64.0,24233.0,True,09:42:00,24300.0,35.0,213,71,71,71,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,24371.0,24371.0,24371.0,98.0,-14.0,243.0
2024-07-12,24066.0,24024.0,42.0,24045.0,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-07-15,24111.0,24061.0,50.0,24086.0,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-07-16,23874.0,23825.0,49.0,23849.5,True,08:50:00,23884.0,10.0,330,110,110,110,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,23994.0,23994.0,23994.0,291.0,-21.0,295.0
2024-07-18,23381.0,23279.0,102.0,23330.0,True,09:29:00,23392.0,11.0,-339,-113,-113,-113,initial_stop_loss,initial_stop_loss,initial_stop_loss,10:20:00,10:20:00,10:20:00,23279.0,23279.0,23279.0,20.0,-133.0,51.0
2024-07-19,23178.0,23094.0,84.0,23136.0,True,09:03:00,23182.0,4.0,-264,-88,-88,-88,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:07:00,09:07:00,09:07:00,23094.0,23094.0,23094.0,0.0,-112.0,4.0
2024-07-22,22905.0,22850.0,55.0,22877.5,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-07-23,22621.0,22572.0,49.0,22596.5,True,08:54:00,22623.0,2.0,636,212,212,212,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22835.0,22835.0,22835.0,244.0,0.0,291.0
2024-07-29,22483.0,22412.0,71.0,22447.5,True,08:53:00,22491.0,8.0,-237,-79,-79,-79,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:10:00,09:10:00,09:10:00,22412.0,22412.0,22412.0,6.0,-108.0,17.0
2024-07-30,21978.0,21913.0,65.0,21945.5,True,08:51:00,21992.0,14.0,-237,-79,-79,-79,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:09:00,09:09:00,09:09:00,21913.0,21913.0,21913.0,27.0,-84.0,18.0
2024-07-31,22115.0,22028.0,87.0,22071.5,True,09:12:00,22145.0,30.0,417,139,139,139,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22284.0,22284.0,22284.0,188.0,-111.0,273.0
2024-08-01,22728.0,22680.0,48.0,22704.0,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-08-02,21998.0,21906.0,92.0,21952.0,True,09:40:00,22039.0,41.0,-399,-133,-133,-133,initial_stop_loss,initial_stop_loss,initial_stop_loss,10:10:00,10:10:00,10:10:00,21906.0,21906.0,21906.0,59.0,-161.0,30.0
2024-08-05,20740.0,20536.0,204.0,20638.0,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-08-06,20555.0,20393.0,162.0,20474.0,True,08:49:00,20616.0,61.0,-669,-223,-223,-223,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:16:00,09:16:00,09:16:00,20393.0,20393.0,20393.0,55.0,-252.0,27.0
2024-08-07,20604.0,20488.0,116.0,20546.0,True,08:48:00,20626.0,22.0,1548,516,516,516,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,21142.0,21142.0,21142.0,700.0,-59.0,297.0
2024-08-08,20697.0,20551.0,146.0,20624.0,True,08:56:00,20764.0,67.0,-198,-66,-66,-66,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,20698.0,20698.0,20698.0,313.0,-132.0,289.0
2024-08-09,21310.0,21014.0,296.0,21162.0,True,08:52:00,21352.0,42.0,393,131,131,131,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,21483.0,21483.0,21483.0,232.0,-107.0,293.0
2024-08-12,21775.0,21595.0,180.0,21685.0,True,09:16:00,21776.0,1.0,-300,-100,-100,-100,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,21676.0,21676.0,21676.0,101.0,-137.0,269.0
2024-08-13,21861.0,21812.0,49.0,21836.5,True,08:48:00,21880.0,19.0,-204,-68,-68,-68,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:06:00,09:06:00,09:06:00,21812.0,21812.0,21812.0,11.0,-104.0,18.0
2024-08-14,22142.0,21964.0,178.0,22053.0,True,09:43:00,22151.0,9.0,-561,-187,-187,-187,initial_stop_loss,initial_stop_loss,initial_stop_loss,10:14:00,10:14:00,10:14:00,21964.0,21964.0,21964.0,0.0,-219.0,31.0
2024-08-15,22052.0,21984.0,68.0,22018.0,True,08:51:00,22061.0,9.0,-231,-77,-77,-77,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:27:00,09:27:00,09:27:00,21984.0,21984.0,21984.0,34.0,-131.0,36.0
2024-08-16,22354.0,22295.0,59.0,22324.5,True,08:58:00,22375.0,21.0,-240,-80,-80,-80,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:06:00,09:06:00,09:06:00,22295.0,22295.0,22295.0,0.0,-92.0,8.0
2024-08-19,22445.0,22395.0,50.0,22420.0,True,08:53:00,22450.0,5.0,-165,-55,-55,-55,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:01:00,09:01:00,09:01:00,22395.0,22395.0,22395.0,3.0,-76.0,8.0
2024-08-20,22559.0,22528.0,31.0,22543.5,True,08:50:00,22564.0,5.0,-108,-36,-36,-36,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:02:00,09:02:00,09:02:00,22528.0,22528.0,22528.0,2.0,-43.0,12.0
2024-08-21,22310.0,22261.0,49.0,22285.5,True,08:48:00,22311.0,1.0,-150,-50,-50,-50,initial_stop_loss,initial_stop_loss,initial_stop_loss,09:07:00,09:07:00,09:07:00,22261.0,22261.0,22261.0,8.0,-53.0,19.0
2024-08-22,22276.0,22228.0,48.0,22252.0,False,,,,0,0,0,0,no_entry,no_entry,no_entry,,,,,,,0.0,0.0,0.0
2024-08-23,21985.0,21925.0,60.0,21955.0,True,11:41:00,22004.0,19.0,357,119,119,119,eod_close,eod_close,eod_close,13:45:00,13:45:00,13:45:00,22123.0,22123.0,22123.0,162.0,0.0,124.0
2024-08-26,22288.0,22233.0,55.0,22260.5,True,08:48:00,22290.0,2.0,-171,-57,-57,-57,initial_stop_loss,initial_stop_loss,initial_stop_loss,11:50:00,11:50:00,11:50:00,22233.0,22233.0,22233.0,153.0,-86.0,182.0
